rcp,model,xRes,yRes,nCols,nRows,xMin,xMax,yMin,yMax
historical,miroc5,1.40625,1.400436777,256,128,-180.703125,179.296875,-89.62795374,89.62795374
historical,miroc5,1.40625,1.400436777,256,128,-180.703125,179.296875,-89.62795374,89.62795374
historical,miroc_esm,2.8125,2.789326947,128,64,-181.40625,178.59375,-89.25846231,89.25846231
historical,miroc_esm,2.8125,2.789326947,128,64,-181.40625,178.59375,-89.25846231,89.25846231
historical,miroc_esm_chem,2.8125,2.789326947,128,64,-181.40625,178.59375,-89.25846231,89.25846231
historical,miroc_esm_chem,2.8125,2.789326947,128,64,-181.40625,178.59375,-89.25846231,89.25846231
historical,mpi_esm_lr,1.875,1.864677188,192,96,-180.9375,179.0625,-89.50450504,89.50450504
historical,mpi_esm_lr,1.875,1.864677188,192,96,-180.9375,179.0625,-89.50450504,89.50450504
historical,mpi_esm_mr,1.875,1.864677188,192,96,-180.9375,179.0625,-89.50450504,89.50450504
historical,mpi_esm_mr,1.875,1.864677188,192,96,-180.9375,179.0625,-89.50450504,89.50450504
historical,mpi_esm_p,1.875,1.864677188,192,96,-180.9375,179.0625,-89.50450504,89.50450504
historical,mpi_esm_p,1.875,1.864677188,192,96,-180.9375,179.0625,-89.50450504,89.50450504
historical,mri_cgcm3,1.125,1.121276981,320,160,-180.5625,179.4375,-89.70215849,89.70215849
historical,mri_cgcm3,1.125,1.121276981,320,160,-180.5625,179.4375,-89.70215849,89.70215849
historical,noresm1_m,2.5,1.894736842,144,96,-181.25,178.75,-90.94736842,90.94736842
historical,noresm1_m,2.5,1.894736842,144,96,-181.25,178.75,-90.94736842,90.94736842
rcp26,bcc_csm1_1,2.8125,2.789326947,128,64,-181.40625,178.59375,-89.25846231,89.25846231
rcp26,bcc_csm1_1,2.8125,2.789326947,128,64,-181.40625,178.59375,-89.25846231,89.25846231
rcp26,bcc_csm1_1,2.8125,2.789326947,128,64,-181.40625,178.59375,-89.25846231,89.25846231
rcp26,bcc_csm1_1,2.8125,2.789326947,128,64,-181.40625,178.59375,-89.25846231,89.25846231
rcp26,bcc_csm1_1,2.8125,2.789326947,128,64,-181.40625,178.59375,-89.25846231,89.25846231
rcp26,bcc_csm1_1,2.8125,2.789326947,128,64,-181.40625,178.59375,-89.25846231,89.25846231
