MODELS	PERIODS	VARIABLES	SIZE	TOP_ALL	LEF_ALL	RIG_ALL	BOT_ALL	CEX_ALL	CEY_ALL	ROW_ALL	COLUMN_ALL	MEAN_ALL	STD_ALL	MIN_ALL	MAX_ALL
bcc_csm1_1	2040_2069	bio	-55412736	90.0000078231096	-180	180.000018775463	-60	0.00833333376795	0.00833333376795	18000	43200	140.127979714	222.516176676	0.0	6092.0
bcc_csm1_1	2040_2069	cons_mths	240729088	90.0000078231096	-180	180.000018775463	-60	0.00833333376795	0.00833333376795	18000	43200	9.5298502705	3.56398769166	0.0	12.0
bcc_csm1_1	2040_2069	cons_mths	240729088	90.0000078231096	-180	180.000018775463	-60	0.00833333376795	0.00833333376795	18000	43200	9.5298502705	3.56398769166	0.0	12.0
bcc_csm1_1	2040_2069	cons_mths	240729088	90.0000078231096	-180	180.000018775463	-60	0.00833333376795	0.00833333376795	18000	43200	9.5298502705	3.56398769166	0.0	12.0
bcc_csm1_1	2040_2069	cons_mths	240729088	90.0000078231096	-180	180.000018775463	-60	0.00833333376795	0.00833333376795	18000	43200	9.5298502705	3.56398769166	0.0	12.0
bcc_csm1_1	2040_2069	cons_mths	240729088	90.0000078231096	-180	180.000018775463	-60	0.00833333376795	0.00833333376795	18000	43200	9.5298502705	3.56398769166	0.0	12.0
bcc_csm1_1	2040_2069	cons_mths	240729088	90.0000078231096	-180	180.000018775463	-60	0.00833333376795	0.00833333376795	18000	43200	9.5298502705	3.56398769166	0.0	12.0
bcc_csm1_1	2040_2069	cons_mths	240729088	90.0000078231096	-180	180.000018775463	-60	0.00833333376795	0.00833333376795	18000	43200	9.5298502705	3.56398769166	0.0	12.0
bcc_csm1_1	2040_2069	cons_mths	240729088	90.0000078231096	-180	180.000018775463	-60	0.00833333376795	0.00833333376795	18000	43200	9.5298502705	3.56398769166	0.0	12.0
bcc_csm1_1	2040_2069	cons_mths	240729088	90.0000078231096	-180	180.000018775463	-60	0.00833333376795	0.00833333376795	18000	43200	9.5298502705	3.56398769166	0.0	12.0
bcc_csm1_1	2040_2069	cons_mths	240729088	90.0000078231096	-180	180.000018775463	-60	0.00833333376795	0.00833333376795	18000	43200	9.5298502705	3.56398769166	0.0	12.0
bcc_csm1_1	2040_2069	cons_mths	240729088	90.0000078231096	-180	180.000018775463	-60	0.00833333376795	0.00833333376795	18000	43200	9.5298502705	3.56398769166	0.0	12.0
bcc_csm1_1	2040_2069	cons_mths	240729088	90.0000078231096	-180	180.000018775463	-60	0.00833333376795	0.00833333376795	18000	43200	9.5298502705	3.56398769166	0.0	12.0
bcc_csm1_1	2060_2089	prec	-55412736	90.0000078231096	-180	180.000018775463	-60	0.00833333376795	0.00833333376795	18000	43200	57.8079332253	80.3558794169	0.0	1159.0
bcc_csm1_1	2060_2089	prec	-55412736	90.0000078231096	-180	180.000018775463	-60	0.00833333376795	0.00833333376795	18000	43200	53.7702901487	77.0878689454	0.0	868.0
bcc_csm1_1	2060_2089	prec	-55412736	90.0000078231096	-180	180.000018775463	-60	0.00833333376795	0.00833333376795	18000	43200	58.0800284913	78.4515558534	0.0	920.0
bcc_csm1_1	2060_2089	prec	-55412736	90.0000078231096	-180	180.000018775463	-60	0.00833333376795	0.00833333376795	18000	43200	57.4770560568	73.0689327443	0.0	1244.0
bcc_csm1_1	2060_2089	prec	-55412736	90.0000078231096	-180	180.000018775463	-60	0.00833333376795	0.00833333376795	18000	43200	59.9180199722	77.3010113529	0.0	1419.0
bcc_csm1_1	2060_2089	prec	-55412736	90.0000078231096	-180	180.000018775463	-60	0.00833333376795	0.00833333376795	18000	43200	65.9088595294	82.1968746231	0.0	2920.0
bcc_csm1_1	2060_2089	prec	-55412736	90.0000078231096	-180	180.000018775463	-60	0.00833333376795	0.00833333376795	18000	43200	78.0051355698	100.492236644	0.0	3473.0
bcc_csm1_1	2060_2089	prec	-55412736	90.0000078231096	-180	180.000018775463	-60	0.00833333376795	0.00833333376795	18000	43200	75.2330998766	87.1126223262	0.0	2506.0
bcc_csm1_1	2060_2089	prec	-55412736	90.0000078231096	-180	180.000018775463	-60	0.00833333376795	0.00833333376795	18000	43200	68.9615941478	83.1821763076	0.0	1305.0
bcc_csm1_1	2060_2089	prec	-55412736	90.0000078231096	-180	180.000018775463	-60	0.00833333376795	0.00833333376795	18000	43200	63.6640603273	72.6205124648	0.0	1510.0
bcc_csm1_1	2060_2089	prec	-55412736	90.0000078231096	-180	180.000018775463	-60	0.00833333376795	0.00833333376795	18000	43200	58.5290924799	70.0332653128	0.0	1264.0
bcc_csm1_1	2060_2089	prec	-55412736	90.0000078231096	-180	180.000018775463	-60	0.00833333376795	0.00833333376795	18000	43200	57.3542121389	76.9205808373	0.0	1476.0
bcc_csm1_1	2060_2089	bio	-55412736	90.0000078231096	-180	180.000018775463	-60	0.00833333376795	0.00833333376795	18000	43200	112.516083142	139.688028676	-237.0	342.0
