rcp	gcm	ensemble	prec	tmax	tmean	tmin	hur	rsds	obs
rcp45	cesm1_bgc	r1i1p1	2006-2100	2006-2100	2006-2100	2006-2100	no	no	
rcp45	cesm1_cam5	r1i1p1	2006-2300	2006-2300	2006-2300	2006-2300	no	no	
rcp45	cesm1_cam5	r2i1p1	2006-2100	2006-2100	2006-2100	2006-2100	no	no	
rcp45	cesm1_cam5	r3i1p1	2006-2100	2006-2100	2006-2100	2006-2100	no	no	
rcp45	cesm1_cam5_1_fv2	r1i1p1	no	no	2006-2099	no	no	no	ins-var
rcp45	cesm1_waccm	r2i1p1	2006-2099	2006-2099	2006-2099	2006-2099	no	no	
rcp45	cesm1_waccm	r3i1p1	2006-2065	2006-2065	2006-2065	2006-2065	no	no	ins-yr
rcp45	cesm1_waccm	r4i1p1	2006-2065	2006-2065	2006-2065	2006-2065	no	no	ins-yr
rcp45	cmcc_cm	r1i1p1	2006-2100	2006-2100	2006-2100	2006-2100	no	no	
rcp45	cmcc_cms	r1i1p1	2006-2100	2006-2100	2006-2100	2006-2100	no	no	
rcp45	cnrm_cm5	r1i1p1	2006-2300	2006-2300	2006-2300	2006-2300	no	no	
rcp45	csiro_mk3_6_0	r10i1p1	2006-2100	2006-2100	2006-2100	no	no	2006-2100	tmin
rcp45	csiro_mk3_6_0	r1i1p1	2006-2300	2006-2100	2006-2300	no	no	no	tmin
rcp45	csiro_mk3_6_0	r2i1p1	2006-2300	2006-2100	2006-2300	no	no	2006-2100	tmin
rcp45	csiro_mk3_6_0	r3i1p1	2006-2300	2006-2100	2006-2300	no	no	2006-2100	tmin
rcp45	csiro_mk3_6_0	r4i1p1	2006-2100	2006-2100	2006-2100	no	no	2006-2100	tmin
rcp45	csiro_mk3_6_0	r5i1p1	2006-2100	2006-2100	2006-2100	no	no	2006-2100	tmin
rcp45	csiro_mk3_6_0	r6i1p1	2006-2100	2006-2100	2006-2100	no	no	2006-2100	tmin
rcp45	csiro_mk3_6_0	r7i1p1	2006-2100	2006-2100	2006-2100	no	no	2006-2100	tmin
rcp45	csiro_mk3_6_0	r8i1p1	2006-2100	2006-2100	2006-2100	no	no	2006-2100	tmin
rcp45	csiro_mk3_6_0	r9i1p1	2006-2100	2006-2100	2006-2100	no	no	2006-2100	tmin
rcp45	ec_earth	r12i1p1	2006-2100	no	2006-2100	2006-2100	no	no	tmax
rcp45	ec_earth	r13i1p1	2006-2100	no	2006-2100	no	no	no	ins-var
rcp45	ec_earth	r14i1p1	2006-2100	no	2006-2100	no	no	no	ins-var
rcp45	ec_earth	r1i1p1	2006-2009	no	2006-2100	2010-2100	no	no	ins-var
rcp45	ec_earth	r2i1p1	2006-2100	no	2006-2100	2006-2100	no	no	tmax
rcp45	ec_earth	r6i1p1	2006-2100	no	2006-2100	2006-2100	no	no	tmax
rcp45	ec_earth	r7i1p1	2006-2100	no	2006-2100	no	no	no	ins-var
rcp45	ec_earth	r8i1p1	2006-2100	no	2006-2100	2006-2100	no	no	tmax
rcp45	ec_earth	r9i1p1	2006-2100	no	2006-2100	2006-2100	no	no	tmax
rcp45	lasg_fgoals_g2	r1i1p1	2006-2299	2006-2275	2006-2299	2006-2275	no	no	
rcp45	lasg_fgoals_s2	r1i1p1	2006-2300	no	2006-2300	no	no	no	ins-var
rcp45	lasg_fgoals_s2	r2i1p1	2006-2100	no	2006-2100	no	no	no	ins-var
rcp45	lasg_fgoals_s2	r3i1p1	2006-2100	no	2006-2100	no	no	no	ins-var
rcp45	fio_esm	r1i1p1	2006-2100	no	2006-2100	2006-2100	no	no	tmax
rcp45	fio_esm	r2i1p1	2006-2100	no	2006-2100	2006-2100	no	no	tmax
rcp45	fio_esm	r3i1p1	2006-2100	no	2006-2100	2006-2100	no	no	tmax
rcp45	gfdl_cm3	r1i1p1	2006-2100	2006-2100	2006-2100	2006-2100	no	no	
rcp45	gfdl_esm2g	r1i1p1	2006-2100	2006-2100	2006-2100	2006-2100	no	no	
rcp45	gfdl_esm2m	r1i1p1	2006-2100	2006-2100	2006-2100	2006-2100	no	no	
rcp45	giss_e2_h	r1i1p1	2051-2100	2006-2300	2006-2300	2006-2300	no	no	ins-yr
rcp45	giss_e2_h	r1i1p2	2051-2100	2006-2300	2006-2300	2006-2300	no	no	ins-yr
rcp45	giss_e2_h	r1i1p3	2051-2100	2006-2300	2006-2300	2006-2300	no	no	ins-yr
rcp45	giss_e2_h	r2i1p1	2051-2100	2006-2300	2006-2300	2006-2300	no	no	ins-yr
rcp45	giss_e2_h	r2i1p2	no	2006-2300	2006-2300	2006-2300	no	no	ins-var
rcp45	giss_e2_h	r2i1p3	no	2006-2300	2006-2300	2006-2300	no	no	ins-var
rcp45	giss_e2_h	r3i1p1	no	2006-2300	2006-2300	2006-2300	no	no	ins-var
rcp45	giss_e2_h	r3i1p2	2051-2100	2006-2300	2006-2300	2006-2300	no	no	ins-yr
rcp45	giss_e2_h	r3i1p3	no	2006-2300	no	2006-2300	no	no	ins-var
rcp45	giss_e2_h	r4i1p1	2051-2100	2006-2300	2006-2300	2006-2300	no	no	ins-yr
rcp45	giss_e2_h	r4i1p2	no	2006-2300	2006-2300	2006-2300	no	no	ins-var
rcp45	giss_e2_h	r4i1p3	no	2006-2300	no	2006-2300	no	no	ins-var
rcp45	giss_e2_h	r5i1p1	no	2006-2300	2006-2300	2006-2300	no	no	ins-var
rcp45	giss_e2_h	r5i1p2	no	2006-2300	2006-2300	2006-2300	no	no	ins-var
rcp45	giss_e2_h	r5i1p3	no	2006-2300	2006-2300	2006-2300	no	no	ins-var
rcp45	giss_e2_h_cc	r1i1p1	2006-2100	2006-2100	2006-2100	2006-2100	no	no	
rcp45	giss_e2_r	r1i1p1	2006-2300	2006-2300	2006-2300	2006-2300	no	no	
rcp45	giss_e2_r	r1i1p2	2006-2300	2006-2300	2006-2300	2006-2300	no	no	
rcp45	giss_e2_r	r1i1p3	2006-2300	2006-2300	2006-2300	2006-2300	no	no	
rcp45	giss_e2_r	r2i1p1	2006-2300	2006-2300	2006-2300	2006-2300	no	no	
rcp45	giss_e2_r	r2i1p2	2006-2300	2006-2300	2006-2300	2006-2300	no	no	
rcp45	giss_e2_r	r2i1p3	2006-2300	2006-2300	2006-2300	2006-2300	no	no	
rcp45	giss_e2_r	r3i1p1	2006-2300	2006-2300	2006-2300	2006-2300	no	no	
rcp45	giss_e2_r	r3i1p2	2006-2300	2006-2300	2006-2300	2006-2300	no	no	
rcp45	giss_e2_r	r3i1p3	2006-2300	2006-2300	2006-2300	2006-2300	no	no	
rcp45	giss_e2_r	r4i1p1	2006-2300	2006-2300	2006-2300	2006-2300	no	no	
rcp45	giss_e2_r	r4i1p2	2006-2300	2006-2300	2006-2300	2006-2300	no	no	
rcp45	giss_e2_r	r4i1p3	2006-2300	2006-2300	2006-2300	2006-2300	no	no	
rcp45	giss_e2_r	r5i1p1	2006-2300	2006-2300	2006-2300	2006-2300	no	no	
rcp45	giss_e2_r	r5i1p2	2006-2300	2006-2300	2006-2300	2006-2300	no	no	
rcp45	giss_e2_r	r5i1p3	2006-2300	2006-2300	2006-2300	2006-2300	no	no	
rcp45	giss_e2_r	r6i1p1	2006-2100	2006-2100	2006-2100	2006-2100	no	no	
rcp45	giss_e2_r_cc	r1i1p1	2006-2100	2006-2100	2006-2100	2006-2100	no	no	
rcp45	mohc_hadcm3	r10i1p1	2006-2035	2006-2035	2006-2035	2006-2035	no	2006-2035	ins-yr
rcp45	mohc_hadcm3	r1i1p1	2006-2035	2006-2035	2006-2035	2006-2035	no	2006-2035	ins-yr
rcp45	mohc_hadcm3	r2i1p1	2006-2035	2006-2035	2006-2035	2006-2035	no	2006-2035	ins-yr
rcp45	mohc_hadcm3	r3i1p1	2006-2035	2006-2035	2006-2035	2006-2035	no	2006-2035	ins-yr
rcp45	mohc_hadcm3	r4i1p1	2006-2035	2006-2035	2006-2035	2006-2035	no	2006-2035	ins-yr
rcp45	mohc_hadcm3	r5i1p1	2006-2035	2006-2035	2006-2035	2006-2035	no	2006-2035	ins-yr
rcp45	mohc_hadcm3	r6i1p1	2006-2035	2006-2035	2006-2035	2006-2035	no	2006-2035	ins-yr
rcp45	mohc_hadcm3	r7i1p1	2006-2035	2006-2035	2006-2035	2006-2035	no	2006-2035	ins-yr
rcp45	mohc_hadcm3	r8i1p1	2006-2035	2006-2035	2006-2035	2006-2035	no	2006-2035	ins-yr
rcp45	mohc_hadcm3	r9i1p1	2006-2035	2006-2035	2006-2035	2006-2035	no	2006-2035	ins-yr
rcp45	nimr_hadgem2_ao	r1i1p1	2006-2100	2006-2099	2006-2100	2006-2099	no	no	
rcp45	mohc_hadgem2_cc	r1i1p1	2005-2100	2005-2100	2005-2100	2005-2100	no	no	
rcp45	mohc_hadgem2_es	r1i1p1	2005-2299	2005-2299	2005-2299	2005-2299	no	no	
rcp45	mohc_hadgem2_es	r2i1p1	2005-2100	2005-2100	2005-2100	2005-2100	no	2005-2100	
rcp45	mohc_hadgem2_es	r3i1p1	2005-2100	2005-2100	2005-2100	2005-2100	no	2005-2100	
rcp45	mohc_hadgem2_es	r4i1p1	2005-2100	2005-2100	2005-2100	2005-2100	no	2005-2100	
rcp45	inm_cm4	r1i1p1	2006-2100	2006-2100	2006-2100	2006-2100	no	no	
rcp45	ipsl_cm5a_lr	r1i1p1	2006-2300	2006-2300	2006-2300	2006-2300	no	no	
rcp45	ipsl_cm5a_lr	r2i1p1	2006-2100	2006-2100	2006-2100	2006-2100	no	no	
rcp45	ipsl_cm5a_lr	r3i1p1	2006-2100	2006-2100	2006-2100	2006-2100	no	no	
rcp45	ipsl_cm5a_lr	r4i1p1	2006-2100	2006-2100	2006-2100	2006-2100	no	no	
rcp45	ipsl_cm5a_mr	r1i1p1	2006-2100	no	2006-2100	2006-2300	no	no	tmax
rcp45	ipsl_cm5b_lr	r1i1p1	no	2006-2100	no	2006-2100	no	no	ins-var
rcp45	miroc_miroc4h	r1i1p1	2006-2035	2006-2035	2006-2035	2006-2035	no	no	ins-yr
rcp45	miroc_miroc4h	r2i1p1	2006-2035	2006-2035	2006-2035	2006-2035	no	2006-2035	ins-yr
rcp45	miroc_miroc4h	r3i1p1	2006-2035	2006-2035	2006-2035	2006-2035	no	2006-2035	ins-yr
rcp45	miroc_miroc5	r1i1p1	2006-2100	2006-2100	2006-2100	2006-2100	no	no	
rcp45	miroc_miroc5	r2i1p1	2006-2100	2006-2100	2006-2100	2006-2100	no	no	
rcp45	miroc_miroc5	r3i1p1	2006-2100	2006-2100	2006-2100	2006-2100	no	no	
rcp45	miroc_esm	r1i1p1	2006-2300	2006-2300	2006-2300	2006-2300	no	no	
rcp45	miroc_esm_chem	r1i1p1	2006-2100	2006-2100	2006-2100	2006-2100	no	no	
rcp45	mpi_esm_lr	r1i1p1	2006-2300	no	2006-2300	2006-2300	no	no	tmax
rcp45	mpi_esm_lr	r2i1p1	2006-2100	no	2006-2100	2006-2100	no	no	tmax
rcp45	mpi_esm_lr	r3i1p1	2006-2100	no	2006-2100	no	no	no	ins-var
rcp45	mpi_esm_mr	r1i1p1	2006-2100	no	2006-2100	no	no	no	ins-var
rcp45	mpi_esm_mr	r2i1p1	2006-2100	no	2006-2100	no	no	no	ins-var
rcp45	mpi_esm_mr	r3i1p1	2006-2100	no	2006-2100	no	no	no	ins-var
rcp45	mri_cgcm3	r1i1p1	2006-2100	2006-2100	2006-2100	2006-2100	no	no	
rcp45	ncc_noresm1_m	r1i1p1	2006-2300	2006-2300	2006-2300	2006-2300	no	no	
rcp45	ncc_noresm1_me	r1i1p1	2006-2102	no	2006-2102	no	no	no	ins-var
