ID	Fileset	GCM	Ensemble	iYear	iMonth	iDay	fYear	fMonth	fDay	ncol	res_x	nrow	res_y	has_leap	pr_unit	tas_unit	naming	Notes
267	4	mohc_hadgem2_es	r4i1p1	1989	12	1	1999	11	30	192	1.875	145	1.24137931	all30	kg m-2 s-1	K	%var%_day_HadGEM2-ES_historical_r4i1p1_19891201-19991130.nc	*all februaries have 30 days
268	4	mohc_hadgem2_es	r4i1p1	1999	12	1	2005	11	30	192	1.875	145	1.24137931	all30	kg m-2 s-1	K	%var%_day_HadGEM2-ES_historical_r4i1p1_19991201-20051130.nc	*all februaries have 30 days
269	1	mpi_m_mpi_esm_lr	r1i1p1	1960	1	1	1969	12	31	192	1.875	96	1.875	yes	kg m-2 s-1	K	%var%_day_MPI-ESM-LR_historical_r1i1p1_19600101-19691231.nc	NA
270	1	mpi_m_mpi_esm_lr	r1i1p1	1970	1	1	1979	12	31	192	1.875	96	1.875	yes	kg m-2 s-1	K	%var%_day_MPI-ESM-LR_historical_r1i1p1_19700101-19791231.nc	NA
271	1	mpi_m_mpi_esm_lr	r1i1p1	1980	1	1	1989	12	31	192	1.875	96	1.875	yes	kg m-2 s-1	K	%var%_day_MPI-ESM-LR_historical_r1i1p1_19800101-19891231.nc	NA
272	1	mpi_m_mpi_esm_lr	r1i1p1	1990	1	1	1999	12	31	192	1.875	96	1.875	yes	kg m-2 s-1	K	%var%_day_MPI-ESM-LR_historical_r1i1p1_19900101-19991231.nc	NA
273	1	mpi_m_mpi_esm_lr	r1i1p1	2000	1	1	2005	12	31	192	1.875	96	1.875	yes	kg m-2 s-1	K	%var%_day_MPI-ESM-LR_historical_r1i1p1_20000101-20051231.nc	NA
274	2	mpi_m_mpi_esm_lr	r2i1p1	1960	1	1	1969	12	31	192	1.875	96	1.875	yes	kg m-2 s-1	K	%var%_day_MPI-ESM-LR_historical_r2i1p1_19600101-19691231.nc	NA
275	2	mpi_m_mpi_esm_lr	r2i1p1	1970	1	1	1979	12	31	192	1.875	96	1.875	yes	kg m-2 s-1	K	%var%_day_MPI-ESM-LR_historical_r2i1p1_19700101-19791231.nc	NA
276	2	mpi_m_mpi_esm_lr	r2i1p1	1980	1	1	1989	12	31	192	1.875	96	1.875	yes	kg m-2 s-1	K	%var%_day_MPI-ESM-LR_historical_r2i1p1_19800101-19891231.nc	NA
277	2	mpi_m_mpi_esm_lr	r2i1p1	1990	1	1	1999	12	31	192	1.875	96	1.875	yes	kg m-2 s-1	K	%var%_day_MPI-ESM-LR_historical_r2i1p1_19900101-19991231.nc	NA
278	2	mpi_m_mpi_esm_lr	r2i1p1	2000	1	1	2005	12	31	192	1.875	96	1.875	yes	kg m-2 s-1	K	%var%_day_MPI-ESM-LR_historical_r2i1p1_20000101-20051231.nc	NA
279	3	mpi_m_mpi_esm_lr	r3i1p1	1960	1	1	1969	12	31	192	1.875	96	1.875	yes	kg m-2 s-1	K	%var%_day_MPI-ESM-LR_historical_r3i1p1_19600101-19691231.nc	NA
280	3	mpi_m_mpi_esm_lr	r3i1p1	1970	1	1	1979	12	31	192	1.875	96	1.875	yes	kg m-2 s-1	K	%var%_day_MPI-ESM-LR_historical_r3i1p1_19700101-19791231.nc	NA
281	3	mpi_m_mpi_esm_lr	r3i1p1	1980	1	1	1989	12	31	192	1.875	96	1.875	yes	kg m-2 s-1	K	%var%_day_MPI-ESM-LR_historical_r3i1p1_19800101-19891231.nc	NA
282	3	mpi_m_mpi_esm_lr	r3i1p1	1990	1	1	1999	12	31	192	1.875	96	1.875	yes	kg m-2 s-1	K	%var%_day_MPI-ESM-LR_historical_r3i1p1_19900101-19991231.nc	NA
283	3	mpi_m_mpi_esm_lr	r3i1p1	2000	1	1	2005	12	31	192	1.875	96	1.875	yes	kg m-2 s-1	K	%var%_day_MPI-ESM-LR_historical_r3i1p1_20000101-20051231.nc	NA
284	1	mri_mri_cgcm3	r1i1p1	1960	1	1	1969	12	31	320	1.125	160	1.125	yes	kg m-2 s-1	K	%var%_day_MRI-CGCM3_historical_r1i1p1_19600101-19691231.nc	NA
285	1	mri_mri_cgcm3	r1i1p1	1970	1	1	1979	12	31	320	1.125	160	1.125	yes	kg m-2 s-1	K	%var%_day_MRI-CGCM3_historical_r1i1p1_19700101-19791231.nc	NA
286	1	mri_mri_cgcm3	r1i1p1	1980	1	1	1989	12	31	320	1.125	160	1.125	yes	kg m-2 s-1	K	%var%_day_MRI-CGCM3_historical_r1i1p1_19800101-19891231.nc	NA
287	1	mri_mri_cgcm3	r1i1p1	1990	1	1	1999	12	31	320	1.125	160	1.125	yes	kg m-2 s-1	K	%var%_day_MRI-CGCM3_historical_r1i1p1_19900101-19991231.nc	NA
288	1	mri_mri_cgcm3	r1i1p1	2000	1	1	2005	12	31	320	1.125	160	1.125	yes	kg m-2 s-1	K	%var%_day_MRI-CGCM3_historical_r1i1p1_20000101-20051231.nc	NA
289	2	mri_mri_cgcm3	r5i1p2	1960	1	1	1969	12	31	320	1.125	160	1.125	yes	kg m-2 s-1	K	%var%_day_MRI-CGCM3_historical_r5i1p2_19600101-19691231.nc	NA
290	2	mri_mri_cgcm3	r5i1p2	1970	1	1	1979	12	31	320	1.125	160	1.125	yes	kg m-2 s-1	K	%var%_day_MRI-CGCM3_historical_r5i1p2_19700101-19791231.nc	NA
291	2	mri_mri_cgcm3	r5i1p2	1980	1	1	1989	12	31	320	1.125	160	1.125	yes	kg m-2 s-1	K	%var%_day_MRI-CGCM3_historical_r5i1p2_19800101-19891231.nc	NA
292	2	mri_mri_cgcm3	r5i1p2	1990	1	1	1999	12	31	320	1.125	160	1.125	yes	kg m-2 s-1	K	%var%_day_MRI-CGCM3_historical_r5i1p2_19900101-19991231.nc	NA
293	2	mri_mri_cgcm3	r5i1p2	2000	1	1	2005	12	31	320	1.125	160	1.125	yes	kg m-2 s-1	K	%var%_day_MRI-CGCM3_historical_r5i1p2_20000101-20051231.nc	NA
294	1	ncar_ccsm4	r1i1p1	1955	1	1	1989	12	31	288	1.25	192	0.9375	no	kg m-2 s-1	K	%var%_day_CCSM4_historical_r1i1p1_19550101-19891231.nc	NA
295	1	ncar_ccsm4	r1i1p1	1990	1	1	2005	12	31	288	1.25	192	0.9375	no	kg m-2 s-1	K	%var%_day_CCSM4_historical_r1i1p1_19900101-20051231.nc	NA
296	2	ncar_ccsm4	r2i1p1	1955	1	1	1989	12	31	288	1.25	192	0.9375	no	kg m-2 s-1	K	%var%_day_CCSM4_historical_r2i1p1_19550101-19891231.nc	NA
297	2	ncar_ccsm4	r2i1p1	1990	1	1	2005	12	31	288	1.25	192	0.9375	no	kg m-2 s-1	K	%var%_day_CCSM4_historical_r2i1p1_19900101-20051231.nc	NA
298	1	ncc_noresm1_m	r1i1p1	1950	1	1	1999	12	31	144	2.5	96	1.875	no	kg m-2 s-1	K	%var%_day_NorESM1-M_historical_r1i1p1_19500101-19991231.nc	NA
299	1	ncc_noresm1_m	r1i1p1	2000	1	1	2005	12	31	144	2.5	96	1.875	no	kg m-2 s-1	K	%var%_day_NorESM1-M_historical_r1i1p1_20000101-20051231.nc	NA
300	1	noaa_gfdl_esm2g	r1i1p1	1956	1	1	1960	12	31	144	2.5	90	2	no	kg m-2 s-1	K	%var%_day_GFDL-ESM2G_historical_r1i1p1_19560101-19601231.nc	NA
301	1	noaa_gfdl_esm2g	r1i1p1	1961	1	1	1965	12	31	144	2.5	90	2	no	kg m-2 s-1	K	%var%_day_GFDL-ESM2G_historical_r1i1p1_19610101-19651231.nc	NA
302	1	noaa_gfdl_esm2g	r1i1p1	1966	1	1	1970	12	31	144	2.5	90	2	no	kg m-2 s-1	K	%var%_day_GFDL-ESM2G_historical_r1i1p1_19660101-19701231.nc	NA
303	1	noaa_gfdl_esm2g	r1i1p1	1971	1	1	1975	12	31	144	2.5	90	2	no	kg m-2 s-1	K	%var%_day_GFDL-ESM2G_historical_r1i1p1_19710101-19751231.nc	NA
304	1	noaa_gfdl_esm2g	r1i1p1	1976	1	1	1980	12	31	144	2.5	90	2	no	kg m-2 s-1	K	%var%_day_GFDL-ESM2G_historical_r1i1p1_19760101-19801231.nc	NA
305	1	noaa_gfdl_esm2g	r1i1p1	1981	1	1	1985	12	31	144	2.5	90	2	no	kg m-2 s-1	K	%var%_day_GFDL-ESM2G_historical_r1i1p1_19810101-19851231.nc	NA
306	1	noaa_gfdl_esm2g	r1i1p1	1986	1	1	1990	12	31	144	2.5	90	2	no	kg m-2 s-1	K	%var%_day_GFDL-ESM2G_historical_r1i1p1_19860101-19901231.nc	NA
307	1	noaa_gfdl_esm2g	r1i1p1	1991	1	1	1995	12	31	144	2.5	90	2	no	kg m-2 s-1	K	%var%_day_GFDL-ESM2G_historical_r1i1p1_19910101-19951231.nc	NA
308	1	noaa_gfdl_esm2g	r1i1p1	1996	1	1	2000	12	31	144	2.5	90	2	no	kg m-2 s-1	K	%var%_day_GFDL-ESM2G_historical_r1i1p1_19960101-20001231.nc	NA
309	1	noaa_gfdl_esm2m	r1i1p1	1956	1	1	1960	12	31	144	2.5	90	2	no	kg m-2 s-1	K	%var%_day_GFDL-ESM2M_historical_r1i1p1_19560101-19601231.nc	NA
310	1	noaa_gfdl_esm2m	r1i1p1	1961	1	1	1965	12	31	144	2.5	90	2	no	kg m-2 s-1	K	%var%_day_GFDL-ESM2M_historical_r1i1p1_19610101-19651231.nc	NA
311	1	noaa_gfdl_esm2m	r1i1p1	1966	1	1	1970	12	31	144	2.5	90	2	no	kg m-2 s-1	K	%var%_day_GFDL-ESM2M_historical_r1i1p1_19660101-19701231.nc	NA
312	1	noaa_gfdl_esm2m	r1i1p1	1971	1	1	1975	12	31	144	2.5	90	2	no	kg m-2 s-1	K	%var%_day_GFDL-ESM2M_historical_r1i1p1_19710101-19751231.nc	NA
313	1	noaa_gfdl_esm2m	r1i1p1	1976	1	1	1980	12	31	144	2.5	90	2	no	kg m-2 s-1	K	%var%_day_GFDL-ESM2M_historical_r1i1p1_19760101-19801231.nc	NA
314	1	noaa_gfdl_esm2m	r1i1p1	1981	1	1	1985	12	31	144	2.5	90	2	no	kg m-2 s-1	K	%var%_day_GFDL-ESM2M_historical_r1i1p1_19810101-19851231.nc	NA
315	1	noaa_gfdl_esm2m	r1i1p1	1986	1	1	1990	12	31	144	2.5	90	2	no	kg m-2 s-1	K	%var%_day_GFDL-ESM2M_historical_r1i1p1_19860101-19901231.nc	NA
316	1	noaa_gfdl_esm2m	r1i1p1	1991	1	1	1995	12	31	144	2.5	90	2	no	kg m-2 s-1	K	%var%_day_GFDL-ESM2M_historical_r1i1p1_19910101-19951231.nc	NA
317	1	noaa_gfdl_esm2m	r1i1p1	1996	1	1	2000	12	31	144	2.5	90	2	no	kg m-2 s-1	K	%var%_day_GFDL-ESM2M_historical_r1i1p1_19960101-20001231.nc	NA
