var	mon	model	scen	ensemble	un	period
tasmax	Amon	AWI-CM-1-1-MR	historical	r1i1p1f1	gn	189401-189412.nc
tasmax	Amon	AWI-CM-1-1-MR	historical	r1i1p1f1	gn	189501-189512.nc
tasmax	Amon	AWI-CM-1-1-MR	historical	r1i1p1f1	gn	189601-189612.nc
tasmax	Amon	AWI-CM-1-1-MR	historical	r1i1p1f1	gn	189701-189712.nc
tasmax	Amon	AWI-CM-1-1-MR	historical	r1i1p1f1	gn	189801-189812.nc
tasmax	Amon	AWI-CM-1-1-MR	historical	r1i1p1f1	gn	189901-189912.nc
tasmax	Amon	AWI-CM-1-1-MR	historical	r1i1p1f1	gn	190001-190012.nc
tasmax	Amon	AWI-CM-1-1-MR	historical	r1i1p1f1	gn	190101-190112.nc
tasmax	Amon	AWI-CM-1-1-MR	historical	r1i1p1f1	gn	190201-190212.nc
tasmax	Amon	AWI-CM-1-1-MR	historical	r1i1p1f1	gn	190301-190312.nc
tasmax	Amon	AWI-CM-1-1-MR	historical	r1i1p1f1	gn	190401-190412.nc
tasmax	Amon	AWI-CM-1-1-MR	historical	r1i1p1f1	gn	190501-190512.nc
tasmax	Amon	AWI-CM-1-1-MR	historical	r1i1p1f1	gn	190601-190612.nc
tasmax	Amon	AWI-CM-1-1-MR	historical	r1i1p1f1	gn	190701-190712.nc
tasmax	Amon	AWI-CM-1-1-MR	historical	r1i1p1f1	gn	190801-190812.nc
tasmax	Amon	AWI-CM-1-1-MR	historical	r1i1p1f1	gn	190901-190912.nc
tasmax	Amon	AWI-CM-1-1-MR	historical	r1i1p1f1	gn	191001-191012.nc
tasmax	Amon	AWI-CM-1-1-MR	historical	r1i1p1f1	gn	191101-191112.nc
tasmax	Amon	AWI-CM-1-1-MR	historical	r1i1p1f1	gn	191201-191212.nc
tasmax	Amon	AWI-CM-1-1-MR	historical	r1i1p1f1	gn	191301-191312.nc
tasmax	Amon	AWI-CM-1-1-MR	historical	r1i1p1f1	gn	191401-191412.nc
tasmax	Amon	AWI-CM-1-1-MR	historical	r1i1p1f1	gn	191501-191512.nc
tasmax	Amon	AWI-CM-1-1-MR	historical	r1i1p1f1	gn	191601-191612.nc
tasmax	Amon	AWI-CM-1-1-MR	historical	r1i1p1f1	gn	191701-191712.nc
tasmax	Amon	AWI-CM-1-1-MR	historical	r1i1p1f1	gn	191801-191812.nc
tasmax	Amon	AWI-CM-1-1-MR	historical	r1i1p1f1	gn	191901-191912.nc
tasmax	Amon	AWI-CM-1-1-MR	historical	r1i1p1f1	gn	192001-192012.nc
tasmax	Amon	AWI-CM-1-1-MR	historical	r1i1p1f1	gn	192101-192112.nc
tasmax	Amon	AWI-CM-1-1-MR	historical	r1i1p1f1	gn	192201-192212.nc
tasmax	Amon	AWI-CM-1-1-MR	historical	r1i1p1f1	gn	192301-192312.nc
tasmax	Amon	AWI-CM-1-1-MR	historical	r1i1p1f1	gn	192401-192412.nc
tasmax	Amon	AWI-CM-1-1-MR	historical	r1i1p1f1	gn	192501-192512.nc
tasmax	Amon	AWI-CM-1-1-MR	historical	r1i1p1f1	gn	192601-192612.nc
tasmax	Amon	AWI-CM-1-1-MR	historical	r1i1p1f1	gn	192701-192712.nc
tasmax	Amon	AWI-CM-1-1-MR	historical	r1i1p1f1	gn	192801-192812.nc
tasmax	Amon	AWI-CM-1-1-MR	historical	r1i1p1f1	gn	192901-192912.nc
tasmax	Amon	AWI-CM-1-1-MR	historical	r1i1p1f1	gn	193001-193012.nc
tasmax	Amon	AWI-CM-1-1-MR	historical	r1i1p1f1	gn	193101-193112.nc
tasmax	Amon	AWI-CM-1-1-MR	historical	r1i1p1f1	gn	193201-193212.nc
tasmax	Amon	AWI-CM-1-1-MR	historical	r1i1p1f1	gn	193301-193312.nc
tasmax	Amon	AWI-CM-1-1-MR	historical	r1i1p1f1	gn	193401-193412.nc
tasmax	Amon	AWI-CM-1-1-MR	historical	r1i1p1f1	gn	193501-193512.nc
tasmax	Amon	AWI-CM-1-1-MR	historical	r1i1p1f1	gn	193601-193612.nc
tasmax	Amon	AWI-CM-1-1-MR	historical	r1i1p1f1	gn	193701-193712.nc
tasmax	Amon	AWI-CM-1-1-MR	historical	r1i1p1f1	gn	193801-193812.nc
tasmax	Amon	AWI-CM-1-1-MR	historical	r1i1p1f1	gn	193901-193912.nc
tasmax	Amon	AWI-CM-1-1-MR	historical	r1i1p1f1	gn	194001-194012.nc
tasmax	Amon	AWI-CM-1-1-MR	historical	r1i1p1f1	gn	194101-194112.nc
tasmax	Amon	AWI-CM-1-1-MR	historical	r1i1p1f1	gn	194201-194212.nc
tasmax	Amon	AWI-CM-1-1-MR	historical	r1i1p1f1	gn	194301-194312.nc
tasmax	Amon	AWI-CM-1-1-MR	historical	r1i1p1f1	gn	194401-194412.nc
tasmax	Amon	AWI-CM-1-1-MR	historical	r1i1p1f1	gn	194501-194512.nc
tasmax	Amon	AWI-CM-1-1-MR	historical	r1i1p1f1	gn	194601-194612.nc
tasmax	Amon	AWI-CM-1-1-MR	historical	r1i1p1f1	gn	194701-194712.nc
tasmax	Amon	AWI-CM-1-1-MR	historical	r1i1p1f1	gn	194801-194812.nc
tasmax	Amon	AWI-CM-1-1-MR	historical	r1i1p1f1	gn	194901-194912.nc
tasmax	Amon	AWI-CM-1-1-MR	historical	r1i1p1f1	gn	195001-195012.nc
tasmax	Amon	AWI-CM-1-1-MR	historical	r1i1p1f1	gn	195101-195112.nc
tasmax	Amon	AWI-CM-1-1-MR	historical	r1i1p1f1	gn	195201-195212.nc
tasmax	Amon	AWI-CM-1-1-MR	historical	r1i1p1f1	gn	195301-195312.nc
tasmax	Amon	AWI-CM-1-1-MR	historical	r1i1p1f1	gn	195401-195412.nc
tasmax	Amon	AWI-CM-1-1-MR	historical	r1i1p1f1	gn	195501-195512.nc
tasmax	Amon	AWI-CM-1-1-MR	historical	r1i1p1f1	gn	195601-195612.nc
tasmax	Amon	AWI-CM-1-1-MR	historical	r1i1p1f1	gn	195701-195712.nc
tasmax	Amon	AWI-CM-1-1-MR	historical	r1i1p1f1	gn	195801-195812.nc
tasmax	Amon	AWI-CM-1-1-MR	historical	r1i1p1f1	gn	195901-195912.nc
tasmax	Amon	AWI-CM-1-1-MR	historical	r1i1p1f1	gn	196001-196012.nc
