idrow,idcell,x,y,P1,P2,P3,P4,P6,P7,P8,P9,P10,P11,P12,P13,P14,P15,P16,P17,P18,P19
1279,1279,-97.66666461,20.3333343,232.375,109.5625,55,3121.5625,127.4375,197.375,258.625,197,264.3125,187.625,1827.375,324.0625,52,62.1875,856.1875,164.5,676.5,187.125
1280,1280,-96.99999783,20.3333343,246.6999969,99.80000305,55.5,2875.600098,154.3999939,178.1000061,267.5,215.3999939,276.2000122,205.3000031,1399,252,49.79999924,52.70000076,585.7000122,163.6000061,467.7999878,192.3999939
1290,1290,-90.33333006,20.3333343,267.8333435,113.8333359,62.41666794,2142.583252,175.4166718,180.9166718,282.9166565,265.5,289.75,236.8333282,1018.75,196.6666718,12.83333302,79.25,536.083313,47.08333206,272.8333435,74.25
1291,1291,-89.66666328,20.3333343,261,130.125,65.375,2174.75,161.125,197.8125,276.5,246.6875,283.375,230.125,1056,193.0625,23.5,69.1875,504.3125,77.75,277.6875,88.25
1292,1292,-88.9999965,20.3333343,260.125,135.9375,68.625,1967.25,159.625,196.75,274.4375,241.375,279.8125,231.6875,1137.5625,195.25,27.875,63.1875,517.4375,98.25,301.25,115.3125
1293,1293,-88.33332972,20.3333343,257.25,128.5,68.9375,1780.5625,161.0625,185.0625,269.875,236.5,274.625,231.125,1203.25,199.875,33.1875,61.375,532.1875,111.125,414.625,118.25
1294,1294,-87.66666294,20.3333343,256.7999878,113.4666672,69.06666565,1721.93335,170.3999939,163.1333313,269.3333435,245.6666718,273.4666748,231.2666626,1191.266724,180.8000031,39.53333282,52.26666641,483.6666565,130.4666595,412.1333313,156.2666626
1295,1295,-86.99999617,20.3333343,259,96.5,67,1635.5,184,143,272,250.5,276.5,235,1330.5,210.5,35,51.5,545.5,137,424,213
1308,1308,-78.33332806,20.3333343,259,104,66,1734,175,157,273,234,279,234,1098,174,18,66,453,71,410,71
1309,1309,-77.66666128,20.3333343,259,104,67,1536,179,153,274,237,277,237,1155,167,24,57,455,87,412,87
1310,1310,-76.9999945,20.3333343,256.2307739,115.4615402,68.46154022,1626.846191,167.8461609,167.5384674,269.615387,232.8461609,275,232.8461609,1237.153809,189.3076935,21.84615326,61.53845978,505.3076782,77.46154022,471.0769348,77.46154022
1311,1311,-76.33332772,20.3333343,248,107,66.625,1655.375,165.9375,159.5625,261.375,224.875,268.0625,224.875,1255.8125,203.6875,26.4375,56.8125,494.3125,90,426,90
1312,1312,-75.66666094,20.3333343,246.4375,99.875,66,1658.5625,169.4375,150.1875,259.1875,223.6875,266.3125,223.5,1351.625,211,38.125,51.8125,505.9375,128.4375,409.75,130.1875
1313,1313,-74.99999417,20.3333343,233.5333405,94.19999695,65.93333435,1610.333374,160.8666687,141.9333344,243.7333374,212.9333344,252.4666595,211.6666718,1451.733276,217.1333313,61.53333282,41.46666718,518.0666504,211.9333344,362.1333313,227.2666626
1314,1314,-74.33332739,20.3333343,240,85.5,64.75,1509.25,172.75,130.5,243.25,224.5,257.25,219.5,1392.75,231.75,62.25,43,512,217.75,293.5,266.5
1357,1357,-105.6666659,19.6666677,265,132,71,1897,157,184,284,252,285,239,683,188,3,107,463,13,341,34
1358,1358,-104.9999992,19.6666677,253.5384674,140.4615326,69.69230652,1716.461548,143.0769196,200.5384674,268.2307739,243.9230804,272.1538391,229.384613,1339.692261,342,3.076923132,112,939.3846436,19.53846169,619.7692261,44.46154022
1359,1359,-104.3333324,19.6666677,223.125,144.4375,66.4375,1698.4375,111.875,215.3125,234,213,242.25,198.5625,1139.875,269.4375,4.0625,104.25,746.75,20.625,436.5,56.8125
1360,1360,-103.6666656,19.6666677,189.8125,146.375,64.625,1863.25,73.1875,224.8125,204.625,180.25,210.25,162.4375,847.75,182.5,5,95.1875,507.0625,19.1875,354.8125,47.5625
