COUNTRY,XMIN,XMAX,YMIN,YMAX,DX,DY,NCOLS,NROWS,NTILES,NCOLS_TILES,NROWS_TILES
cmr,8.494763453,16.19476385,1.652548266,13.07754886,0.008333334,0.008333334,924,1371,4,2,2
cog,11.20500959,18.64667664,-5.028312622,3.705021167,0.008333334,0.008333334,893,1048,4,2,2
col,-81.72362563,-66.87362485,-4.230483642,13.38618394,0.008333334,0.008333334,1782,2114,16,4,4
com,43.22874859,44.537082,-12.42263876,-11.36430537,0.008333334,0.008333334,157,127,1,1,1
cpv,-25.36180458,-22.6534711,14.80180532,17.20180544,0.008333334,0.008333334,325,288,1,1,1
cri,-85.95062261,-82.55895577,8.032975283,11.21630878,0.008333334,0.008333334,407,382,1,1,1
cub,-84.95603957,-74.131039,19.83131834,23.28131852,0.008333334,0.008333334,1299,414,4,2,2
cyp,32.27308651,34.59808663,34.56351134,35.70517806,0.008333334,0.008333334,279,137,1,1,1
cze,12.10023552,18.85856921,48.54084041,51.05750721,0.008333334,0.008333334,811,302,1,1,1
deu,5.871619565,15.02995338,47.26985938,55.05319312,0.008333334,0.008333334,1099,934,4,2,2
dji,41.77344156,43.41510831,10.90991039,12.71824382,0.008333334,0.008333334,197,217,1,1,1
dma,-61.48014064,-61.23847396,15.20625027,15.63958362,0.008333334,0.008333334,29,52,1,1,1
dnk,8.07560253,15.15893623,54.56289641,57.74622991,0.008333334,0.008333334,850,382,4,2,2
dom,-72.00306661,-68.31973308,17.47013828,19.92847174,0.008333334,0.008333334,442,295,1,1,1
dza,-8.673868521,11.97613256,18.96002937,37.09336364,0.008333334,0.008333334,2478,2176,25,5,5
ecu,-91.66389453,-75.197227,-5.012688738,1.453978266,0.008333334,0.008333334,1976,776,9,3,3
egy,24.69809947,35.81476671,21.72538929,31.66705647,0.008333334,0.008333334,1334,1193,9,3,3
eri,36.43876659,43.13876694,12.35956225,18.00122921,0.008333334,0.008333334,804,677,4,2,2
esh,-17.10317957,-8.669845792,20.77416032,27.68249401,0.008333334,0.008333334,1012,829,4,2,2
esp,-18.15741349,4.317587686,27.63698537,43.78698621,0.008333334,0.008333334,2697,1938,16,4,4
est,21.7734545,28.2151215,57.51511332,59.67344677,0.008333334,0.008333334,773,259,1,1,1
eth,32.99993861,47.98327273,3.322098352,14.89709896,0.008333334,0.008333334,1798,1389,9,3,3
fin,19.31769944,31.58436674,59.72097037,70.08763758,0.008333334,0.008333334,1472,1244,9,3,3
fji,-179.9999997,180.0000191,-19.21638865,-12.45805496,0.008333334,0.008333334,43200,811,121,11,11
fra,-5.142087564,9.566246537,41.36601241,51.09934625,0.008333334,0.008333334,1765,1168,9,3,3
fro,-7.696126541,-6.271126466,61.38715337,62.38715343,0.008333334,0.008333334,171,120,1,1,1
gab,8.695470572,14.50380421,-3.978805717,2.321194612,0.008333334,0.008333334,697,756,4,2,2
gbr,-8.621389576,1.770277632,49.89083136,60.84083193,0.008333334,0.008333334,1247,1314,9,3,3
geo,40.01023847,46.71857215,41.03851335,43.58851349,0.008333334,0.008333334,805,306,1,1,1
gha,-3.255419489,1.194580743,4.736723298,11.17005697,0.008333334,0.008333334,534,772,4,2,2
gin,-15.08625953,-7.644592477,7.193552256,12.67688588,0.008333334,0.008333334,893,658,4,2,2
global,-180,180,-60,90,0.041666667,0.041666667,8640,3600,162,18,9
glp,-63.1537515,-61.00375139,15.8315274,18.12319419,0.008333334,0.008333334,258,275,1,1,1
gmb,-16.82508052,-13.80008036,13.06425027,13.82258364,0.008333334,0.008333334,363,91,1,1,1
gnb,-16.71754059,-13.6342071,10.85997036,12.67663712,0.008333334,0.008333334,370,218,1,1,1
gnq,5.602366575,11.33570021,-1.459946619,3.790053655,0.008333334,0.008333334,688,630,4,2,2
grc,19.30990052,29.61823439,34.8149034,41.73990377,0.008333334,0.008333334,1237,831,4,2,2
grd,-61.80208256,-61.37708254,11.98430529,12.53430532,0.008333334,0.008333334,51,66,1,1,1
grl,-73.04308357,-12.15141373,59.79109937,83.62443394,0.008333334,0.008333334,7307,2860,81,9,9
gtm,-92.22235853,-88.22235832,13.74428528,17.81928549,0.008333334,0.008333334,480,489,1,1,1
guf,-54.54251062,-51.61751047,2.127094223,5.777094414,0.008333334,0.008333334,351,438,1,1,1
guy,-61.39627064,-56.47960372,1.175080377,8.558414096,0.008333334,0.008333334,590,886,4,2,2
hnd,-89.3507915,-83.15912451,12.98453927,16.50953946,0.008333334,0.008333334,743,423,1,1,1
hrv,13.48958347,19.43125045,42.1034734,46.55347363,0.008333334,0.008333334,713,534,4,2,2
hti,-74.47944663,-71.62111315,18.0228614,20.08952817,0.008333334,0.008333334,343,248,1,1,1
hun,16.1110476,22.90271462,45.74782934,48.58949615,0.008333334,0.008333334,815,341,1,1,1
idn,94.97233554,141.0140046,-11.00971962,6.0736146,0.008333334,0.008333334,5525,2050,36,6,6
ind,68.1862486,97.41125012,6.754260282,35.50426178,0.008333334,0.008333334,3507,3450,49,7,7
irl,-10.66305555,-5.996388643,51.41958237,55.45291591,0.008333334,0.008333334,560,484,1,1,1
irn,45.08922155,63.3142225,25.06408726,39.69742135,0.008333334,0.008333334,2187,1756,16,4,4
irq,38.79531046,48.57864431,29.10305426,37.37805469,0.008333334,0.008333334,1174,993,4,2,2
isl,-24.54222446,-13.50055721,63.38999938,66.53999954,0.008333334,0.008333334,1325,378,4,2,2
isr,34.26800951,35.93467626,29.49664529,33.42997883,0.008333334,0.008333334,200,472,1,1,1
ita,6.630879578,18.52254687,35.4929163,47.0929169,0.008333334,0.008333334,1427,1392,9,3,3
jam,-78.36902654,-76.1856931,17.70569436,18.52236107,0.008333334,0.008333334,262,98,1,1,1
jor,34.96001053,39.30167743,29.18587834,33.37754523,0.008333334,0.008333334,521,503,1,1,1
jpn,122.9331966,145.8165312,24.04541641,45.52041753,0.008333334,0.008333334,2746,2577,36,6,6
kaz,46.49185549,87.30852429,40.55167434,55.43500845,0.008333334,0.008333334,4898,1786,36,6,6
ken,33.90958058,41.89291433,-4.674900613,4.633433205,0.008333334,0.008333334,958,1117,4,2,2
kgz,69.27661854,80.28495244,39.17284428,43.23951116,0.008333334,0.008333334,1321,488,4,2,2
khm,102.3355026,107.6271696,9.913610273,14.68861052,0.008333334,0.008333334,635,573,4,2,2
kir,102.3355026,107.6271696,9.913610273,14.68861052,0.008333334,0.008333334,635,573,4,2,2
kor,125.0865707,129.5865709,33.10610931,38.61444293,0.008333334,0.008333334,540,661,4,2,2
kwt,46.54694358,48.65527702,28.53888333,30.08055008,0.008333334,0.008333334,253,185,1,1,1
lao,100.0867696,107.63677,13.9076003,22.49926742,0.008333334,0.008333334,906,1031,4,2,2
lbn,35.10347349,36.63680691,33.05385638,34.69552313,0.008333334,0.008333334,184,197,1,1,1
lbr,-11.4920795,-7.367079281,4.353057329,8.553057548,0.008333334,0.008333334,495,504,1,1,1
lby,9.387020456,25.15368795,19.50804324,33.16637729,0.008333334,0.008333334,1892,1639,16,4,4
lca,-61.08013949,-60.87180614,13.70708328,14.1070833,0.008333334,0.008333334,25,48,1,1,1
lie,-61.08013949,-60.87180614,13.70708328,14.1070833,0.008333334,0.008333334,25,48,1,1,1
lka,79.52124057,81.87957403,5.919086377,9.835753248,0.008333334,0.008333334,283,470,1,1,1
lso,27.02906957,29.46240303,-30.66896072,-28.56896061,0.008333334,0.008333334,292,252,1,1,1
ltu,20.94548245,26.84548276,53.89010638,56.44843985,0.008333334,0.008333334,708,307,1,1,1
lux,5.743479494,6.526812868,49.44789137,50.18122474,0.008333334,0.008333334,94,88,1,1,1
lva,20.97426647,28.24093351,55.6637193,58.08038609,0.008333334,0.008333334,872,290,1,1,1
mac,113.5289536,113.5872869,22.11067429,22.21900763,0.008333334,0.008333334,7,13,1,1,1
mar,-13.1594406,-0.992773297,27.67009736,35.92843113,0.008333334,0.008333334,1460,991,9,3,3
mco,7.386400576,7.444733912,43.72803138,43.76969805,0.008333334,0.008333334,7,5,1,1,1
mda,26.62131351,30.16298036,45.4601064,48.49343989,0.008333334,0.008333334,425,364,1,1,1
mdg,43.17737946,50.48571317,-25.60446373,-11.95446302,0.008333334,0.008333334,877,1638,9,3,3
mdv,43.17737946,50.48571317,-25.60446373,-11.95446302,0.008333334,0.008333334,877,1638,9,3,3
mex,-117.3004225,-86.70042093,14.53381034,32.71714462,0.008333334,0.008333334,3672,2182,25,5,5
mkd,20.45892947,23.0089296,40.8485563,42.34022305,0.008333334,0.008333334,306,179,1,1,1
mli,-12.24260945,4.24905808,10.15950929,25.00117673,0.008333334,0.008333334,1979,1781,16,4,4
mlt,-12.24260945,4.24905808,10.15950929,25.00117673,0.008333334,0.008333334,1979,1781,16,4,4
mmr,92.18927751,101.1809447,8.824440261,28.54110796,0.008333334,0.008333334,1079,2366,9,3,3
mng,87.7496646,119.9246663,41.56763835,52.15097223,0.008333334,0.008333334,3861,1270,16,4,4
mnp,144.8849947,146.0683281,14.10999932,20.55166633,0.008333334,0.008333334,142,773,1,1,1
moz,30.21731958,40.84232013,-26.86868472,-10.46868386,0.008333334,0.008333334,1275,1968,9,3,3
mrt,-17.06652059,-4.824853286,14.71555025,27.29888424,0.008333334,0.008333334,1469,1510,9,3,3
mtq,-61.2290265,-60.81235982,14.3881943,14.879861,0.008333334,0.008333334,50,59,1,1,1
mus,56.58569354,63.50236057,-20.52569363,-10.33402643,0.008333334,0.008333334,830,1223,4,2,2
mwi,32.67152461,35.91319144,-17.12721066,-9.360543584,0.008333334,0.008333334,389,932,4,2,2
mys,99.64071668,119.2657177,0.855000389,7.363334062,0.008333334,0.008333334,2355,781,9,3,3
nam,11.71563049,25.25729786,-28.9714298,-16.96309584,0.008333334,0.008333334,1625,1441,9,3,3
ncl,155.8688967,168.135564,-22.84805477,-17.39805449,0.008333334,0.008333334,1472,654,4,2,2
ner,0.166250418,15.99958458,11.69697434,23.52197496,0.008333334,0.008333334,1900,1419,9,3,3
nga,2.668431449,14.67676541,4.277144318,13.89381149,0.008333334,0.008333334,1441,1154,9,3,3
nic,-87.6903075,-82.59030724,10.70754323,15.02421012,0.008333334,0.008333334,612,518,4,2,2
nld,3.3575725,7.240906036,50.75509643,53.54676324,0.008333334,0.008333334,466,335,1,1,1
nor,4.650158579,31.14182663,57.96657937,71.19158006,0.008333334,0.008333334,3179,1587,16,4,4
npl,80.05132259,88.19298968,26.34867129,30.43200484,0.008333334,0.008333334,977,490,4,2,2
nzl,-176.9344937,179.0655249,-52.62083478,-34.12916715,0.008333334,0.008333334,42720,2219,169,13,13
omn,51.8820116,59.84034535,16.64576127,26.38742844,0.008333334,0.008333334,955,1169,4,2,2
pak,60.87859751,77.84526506,23.69468325,37.09468395,0.008333334,0.008333334,2036,1608,16,4,4
pan,-83.05144456,-77.17644426,7.197906286,9.647906414,0.008333334,0.008333334,705,294,1,1,1
per,-81.32814766,-68.653147,-18.35046564,-0.033798015,0.008333334,0.008333334,1521,2198,16,4,4
phl,111.9177017,126.6093691,4.58694034,21.07027453,0.008333334,0.008333334,1763,1978,9,3,3
png,140.8397525,155.95642,-11.68477274,-0.759772172,0.008333334,0.008333334,1814,1311,9,3,3
pol,14.12161555,24.15494941,49.00613036,54.839464,0.008333334,0.008333334,1204,700,4,2,2
pri,-67.95243054,-65.21909706,17.88263931,18.51597268,0.008333334,0.008333334,328,76,1,1,1
prk,124.1886367,130.6719704,37.59730928,43.00564289,0.008333334,0.008333334,778,649,4,2,2
prt,-31.26902761,-6.194026304,32.40375128,42.14541845,0.008333334,0.008333334,3009,1169,16,4,4
pry,-62.64651864,-54.25485153,-27.6058618,-19.28919469,0.008333334,0.008333334,1007,998,4,2,2
pyf,-62.64651864,-54.25485153,-27.6058618,-19.28919469,0.008333334,0.008333334,1007,998,4,2,2
qat,50.7318035,51.64847021,24.52097131,26.18763807,0.008333334,0.008333334,110,200,1,1,1
reu,55.21625151,55.84125154,-21.38985978,-20.87319309,0.008333334,0.008333334,75,62,1,1,1
rom,20.26075545,29.69408928,43.63532641,48.26865999,0.008333334,0.008333334,1132,556,4,2,2
rus,-179.9999997,180.0000191,41.18886538,81.85553417,0.008333334,0.008333334,43200,4880,169,13,13
rwa,28.85679454,30.89846132,-2.840679624,-1.057346197,0.008333334,0.008333334,245,214,1,1,1
sau,34.49568553,55.67068663,15.61425434,32.22258854,0.008333334,0.008333334,2541,1993,16,4,4
sdn,21.83894959,38.58061713,3.486390285,23.14472464,0.008333334,0.008333334,2009,2359,16,4,4
sen,-17.53524046,-11.35190681,12.30727024,16.6906038,0.008333334,0.008333334,742,526,4,2,2
sgp,-17.53524046,-11.35190681,12.30727024,16.6906038,0.008333334,0.008333334,742,526,4,2,2
sjm,-9.120058542,33.63827702,70.80386338,80.76219723,0.008333334,0.008333334,5131,1195,25,5,5
slb,155.4994507,167.2744513,-11.88249967,-4.449165946,0.008333334,0.008333334,1413,892,4,2,2
sle,-13.30762952,-10.28262936,6.92868938,10.00368954,0.008333334,0.008333334,363,369,1,1,1
slv,-90.12866264,-87.68699584,13.1496923,14.44969236,0.008333334,0.008333334,293,156,1,1,1
smr,12.40066658,12.51733325,43.89465329,43.99465329,0.008333334,0.008333334,14,12,1,1,1
som,40.9886326,51.41363315,-1.662052744,11.98794797,0.008333334,0.008333334,1251,1638,9,3,3
stp,6.459861571,7.459861623,-0.014027611,1.702639145,0.008333334,0.008333334,120,206,1,1,1
sur,-58.08656352,-53.97822997,1.831145341,6.006145558,0.008333334,0.008333334,493,501,1,1,1
svk,16.83417547,22.5675091,47.73274542,49.60774552,0.008333334,0.008333334,688,225,1,1,1
svn,13.3749385,16.583272,45.42820331,46.87820338,0.008333334,0.008333334,385,174,1,1,1
swe,10.98673357,24.16173425,55.33712428,69.062125,0.008333334,0.008333334,1581,1647,9,3,3
swz,30.79410955,32.13577628,-27.31710069,-25.7171006,0.008333334,0.008333334,161,192,1,1,1
syc,30.79410955,32.13577628,-27.31710069,-25.7171006,0.008333334,0.008333334,161,192,1,1,1
syr,35.72723351,42.38556719,32.31068037,37.31901396,0.008333334,0.008333334,799,601,4,2,2
tca,35.72723351,42.38556719,32.31068037,37.31901396,0.008333334,0.008333334,799,601,4,2,2
tcd,13.47348046,24.00681434,7.441068365,23.44940253,0.008333334,0.008333334,1264,1921,9,3,3
tgo,-0.147323519,1.802676582,6.104417272,11.13775087,0.008333334,0.008333334,234,604,1,1,1
tha,97.34519153,105.6368586,5.61604037,20.46604114,0.008333334,0.008333334,995,1782,9,3,3
tjk,67.38713062,75.13713103,36.67413736,41.04080425,0.008333334,0.008333334,930,524,4,2,2
tkm,52.44143263,66.68310004,35.14109428,42.79942801,0.008333334,0.008333334,1709,919,9,3,3
ton,-176.2138366,-173.7388365,-22.34972165,-15.84138798,0.008333334,0.008333334,297,781,1,1,1
tun,7.52482655,11.59982676,30.24043033,37.55709738,0.008333334,0.008333334,489,878,4,2,2
tur,24.99999958,44.83333395,35.81542642,42.10709341,0.008333334,0.008333334,2380,755,9,3,3
twn,119.3078686,121.9995354,21.90180037,25.30180055,0.008333334,0.008333334,323,408,1,1,1
tza,29.3271676,40.44383484,-11.74569572,-0.987361822,0.008333334,0.008333334,1334,1291,9,3,3
uga,29.56700554,35.01700582,-1.478195665,4.205137965,0.008333334,0.008333334,654,682,4,2,2
ukr,22.1404475,40.21544845,44.38210626,52.37377334,0.008333334,0.008333334,2169,959,9,3,3
ury,-58.44272249,-53.18438889,-34.9808157,-30.08081545,0.008333334,0.008333334,631,588,4,2,2
usa,-179.1333926,179.7916261,18.90985839,71.4015278,0.008333334,0.008333334,43071,6299,169,13,13
uzb,55.99748955,73.17249045,37.1838764,45.56721017,0.008333334,0.008333334,2061,1006,9,3,3
vct,-61.46097153,-61.11097152,12.57874936,13.38708273,0.008333334,0.008333334,42,97,1,1,1
ven,-73.38697853,-59.78697782,0.648764307,12.35709825,0.008333334,0.008333334,1632,1405,9,3,3
vnm,102.1449966,109.469997,8.563330306,23.39666441,0.008333334,0.008333334,879,1780,9,3,3
vut,166.5413967,172.091397,-22.40055464,-13.07555415,0.008333334,0.008333334,666,1119,4,2,2
wsm,-172.8041227,-171.3957892,-14.07722169,-13.44388833,0.008333334,0.008333334,169,76,1,1,1
yem,41.81458253,54.53124986,12.11109124,19.00275826,0.008333334,0.008333334,1526,827,4,2,2
zaf,16.45801957,38.00802069,-46.98249773,-22.1241631,0.008333334,0.008333334,2586,2983,25,5,5
zmb,21.99937049,33.70770444,-18.07947375,-8.221139898,0.008333334,0.008333334,1405,1183,9,3,3
zwe,25.2370286,33.05369567,-22.41773771,-15.60940402,0.008333334,0.008333334,938,817,4,2,2
