ID	Fileset	GCM	Ensemble	iYear	iMonth	iDay	fYear	fMonth	fDay	ncol	res_x	nrow	res_y	has_leap	pr_unit	tas_unit	naming	srad_naming	Notes
72	1	ipsl_ipsl_cm5a_mr	r1i1p1	1950	1	1	1999	12	31	144	2.5	143	1.258741259	no	kg m-2 s-1	K	%var%_day_IPSL-CM5A-MR_historical_r1i1p1_19500101-19991231.nc	rsds_day_IPSL-CM5A-MR_historical_r1i1p1_19500101-19991231.nc	NA
73	1	ipsl_ipsl_cm5a_mr	r1i1p1	2000	1	1	2005	12	31	144	2.5	143	1.258741259	no	kg m-2 s-1	K	%var%_day_IPSL-CM5A-MR_historical_r1i1p1_20000101-20051231.nc	rsds_day_IPSL-CM5A-MR_historical_r1i1p1_20000101-20051231.nc	NA
74	1	miroc_miroc_esm	r1i1p1	1850	1	1	2005	12	31	128	2.8125	64	2.8125	yes	kg m-2 s-1	K	%var%_day_MIROC-ESM_historical_r1i1p1_18500101-20051231.nc	rsds_day_MIROC-ESM_historical_r1i1p1_19500101-20051231.nc	NA
75	1	miroc_miroc_esm_chem	r1i1p1	1850	1	1	2005	12	31	128	2.8125	64	2.8125	yes	kg m-2 s-1	K	%var%_day_MIROC-ESM-CHEM_historical_r1i1p1_18500101-20051231.nc	rsds_day_MIROC-ESM-CHEM_historical_r1i1p1_19500101-20051231.nc	NA
76	1	miroc_miroc4h	r1i1p1	1960	1	1	1960	12	31	640	0.5625	320	0.5625	yes	kg m-2 s-1	K	%var%_day_MIROC4h_historical_r1i1p1_19600101-19601231.nc	rsds_day_MIROC4h_historical_1960_10101-11231.nc	NA
77	1	miroc_miroc4h	r1i1p1	1961	1	1	1961	12	31	640	0.5625	320	0.5625	yes	kg m-2 s-1	K	%var%_day_MIROC4h_historical_r1i1p1_19610101-19611231.nc	rsds_day_MIROC4h_historical_1961_10101-11231.nc	NA
78	1	miroc_miroc4h	r1i1p1	1962	1	1	1962	12	31	640	0.5625	320	0.5625	yes	kg m-2 s-1	K	%var%_day_MIROC4h_historical_r1i1p1_19620101-19621231.nc	rsds_day_MIROC4h_historical_1962_10101-11231.nc	NA
79	1	miroc_miroc4h	r1i1p1	1963	1	1	1963	12	31	640	0.5625	320	0.5625	yes	kg m-2 s-1	K	%var%_day_MIROC4h_historical_r1i1p1_19630101-19631231.nc	rsds_day_MIROC4h_historical_1963_10101-11231.nc	NA
80	1	miroc_miroc4h	r1i1p1	1964	1	1	1964	12	31	640	0.5625	320	0.5625	yes	kg m-2 s-1	K	%var%_day_MIROC4h_historical_r1i1p1_19640101-19641231.nc	rsds_day_MIROC4h_historical_1964_10101-11231.nc	NA
81	1	miroc_miroc4h	r1i1p1	1965	1	1	1965	12	31	640	0.5625	320	0.5625	yes	kg m-2 s-1	K	%var%_day_MIROC4h_historical_r1i1p1_19650101-19651231.nc	rsds_day_MIROC4h_historical_1965_10101-11231.nc	NA
82	1	miroc_miroc4h	r1i1p1	1966	1	1	1966	12	31	640	0.5625	320	0.5625	yes	kg m-2 s-1	K	%var%_day_MIROC4h_historical_r1i1p1_19660101-19661231.nc	rsds_day_MIROC4h_historical_1966_10101-11231.nc	NA
