"CELL30M","SoilProfile","repre","acum"
4207,"WI_CLDE040",0.8,0.8
4214,"WI_PHGT002",0.8,0.8
4215,"WI_PHGT002",0.8,0.8
4709,"WI_ACBR009",0.8,0.8
4890,"WI_ACBR009",0.8,0.8
6716,"WI_LVBR026",0.8,0.8
8349,"HC_GEN0016",0.8,0.8
8354,"WI_NTCO045",0.8,0.8
11959,"WI_FLVE023",0.8,0.8
12202,"WI_NTUY050",0.8,0.8
14132,"WI_GLIE007",0.8,0.8
15439,"WI_FRUG001",0.8,0.8
16511,"WI_ACBD013",0.8,0.8
17188,"WI_FLYE199",0.8,0.8
18096,"WI_FLYE199",0.8,0.8
18319,"WI_FRAO009",0.8,0.8
18320,"WI_FRAO009",0.8,0.8
18321,"WI_FRAO009",0.8,0.8
18499,"WI_FRAO009",0.8,0.8
18500,"WI_FRAO009",0.8,0.8
18501,"WI_FRAO009",0.8,0.8
19224,"WI_FRAO009",0.8,0.8
19405,"WI_FRAO009",0.8,0.8
19570,"WI_FRAO009",0.8,0.8
19585,"WI_FRAO009",0.8,0.8
19750,"WI_FRAO009",0.8,0.8
19751,"WI_FRAO009",0.8,0.8
19930,"WI_FRAO009",0.8,0.8
20118,"WI_FRAO009",0.8,0.8
20298,"WI_FRAO009",0.8,0.8
20833,"WI_FRAO009",0.8,0.8
22237,"WI_CLSY005",0.8,0.8
22417,"WI_CLSY005",0.8,0.8
22973,"WI_PLAR020",0.8,0.8
23154,"WI_PLAR020",0.8,0.8
23693,"WI_PLAR020",0.8,0.8
23694,"WI_PLAR020",0.8,0.8
24052,"WI_PLAR020",0.8,0.8
24053,"WI_PLAR020",0.8,0.8
24054,"WI_PLAR020",0.8,0.8
24216,"WI_FLYE190",0.8,0.8
29984,"WI_CLBW186",0.8,0.8
4385,"WI_CLDE040",0.798611111111111,0.798611111111111
4386,"WI_CLDE040",0.798333333333333,0.798333333333333
16696,"WI_ACBI015",0.794444444444444,0.794444444444444
28716,"WI_LPIN003",0.793548387096774,0.793548387096774
71,"WI_CMSL008",0.791666666666667,0.791666666666667
11780,"WI_VRBW457",0.7875,0.7875
23692,"WI_PLAR020",0.786111111111111,0.786111111111111
17054,"WI_ACBI015",0.779166666666667,0.779166666666667
249,"WI_CMSL008",0.777777777777778,0.777777777777778
6550,"WI_NTCO045",0.777777777777778,0.777777777777778
6908,"WI_ACPE008",0.777777777777778,0.777777777777778
6909,"WI_NTCO045",0.777777777777778,0.777777777777778
6911,"WI_NTCO045",0.777777777777778,0.777777777777778
13590,"WI_GLIE007",0.777777777777778,0.777777777777778
13648,"WI_FRBR065",0.777777777777778,0.777777777777778
15616,"WI_ACBD013",0.777777777777778,0.777777777777778
20119,"WI_FRAO009",0.777777777777778,0.777777777777778
22793,"WI_PLAR020",0.777777777777778,0.777777777777778
23153,"WI_PLAR020",0.777777777777778,0.777777777777778
3081,"WI_ACBR009",0.773333333333333,0.773333333333333
13952,"WI_GLIE007",0.772222222222222,0.772222222222222
9654,"WI_VRMA023",0.770833333333333,0.770833333333333
5260,"WI_ACBR009",0.768055555555556,0.768055555555556
1300,"WI_VRTZ077",0.766666666666667,0.766666666666667
8757,"WI_PHCA054",0.766666666666667,0.766666666666667
9828,"WI_VRMA023",0.766666666666667,0.766666666666667
9450,"HC_GEN0011",0.761111111111111,0.761111111111111
4565,"WI_CLDE040",0.757352941176471,0.757352941176471
7091,"WI_CMLS010",0.755555555555556,0.755555555555556
10709,"HC_GEN0011",0.755555555555556,0.755555555555556
16692,"WI_ACBD013",0.755555555555556,0.755555555555556
16874,"WI_ACBI015",0.755555555555556,0.755555555555556
19931,"WI_FRAO009",0.755555555555556,0.755555555555556
20110,"WI_FRAO009",0.755555555555556,0.755555555555556
22275,"WI_FRAO009",0.755555555555556,0.755555555555556
23874,"WI_PLAR020",0.755555555555556,0.755555555555556
60,"WI_FLBD007",0.752777777777778,0.752777777777778
419,"WI_FLBD007",0.752777777777778,0.752777777777778
8758,"WI_PHCA054",0.751428571428571,0.751428571428571
3461,"HC_GEN0012",0.751111111111111,0.751111111111111
250,"WI_CMSL008",0.75,0.75
581,"WI_VRTZ077",0.75,0.75
2745,"WI_VRUS115",0.75,0.75
2746,"WI_VRUS115",0.75,0.75
2925,"WI_VRUS115",0.75,0.75
3105,"WI_VRUS115",0.75,0.75
3285,"WI_VRUS115",0.75,0.75
3824,"WI_VRUS115",0.75,0.75
3825,"WI_VRUS115",0.75,0.75
4004,"WI_VRUS115",0.75,0.75
4005,"WI_VRUS115",0.75,0.75
4006,"WI_VRUS115",0.75,0.75
4023,"WI_CLDE040",0.75,0.75
4024,"WI_CLDE040",0.75,0.75
4025,"WI_CLDE040",0.75,0.75
4186,"WI_VRUS115",0.75,0.75
4366,"WI_VRUS115",0.75,0.75
4547,"WI_VRUS115",0.75,0.75
4744,"WI_CLDE040",0.75,0.75
8197,"WI_GLBD005",0.75,0.75
8727,"WI_CMTH046",0.75,0.75
9653,"WI_VRMA023",0.75,0.75
9987,"WI_CMKR001",0.75,0.75
13230,"WI_GLIE007",0.75,0.75
13591,"WI_GLIE007",0.75,0.75
14118,"WI_FLYE199",0.75,0.75
15104,"WI_LVBR054",0.75,0.75
15105,"WI_LVBR054",0.75,0.75
16306,"WI_GLPH030",0.75,0.75
17023,"WI_ACPA004",0.75,0.75
26376,"WI_ANCR015",0.75,0.75
4180,"WI_PHAL035",0.745833333333333,0.745833333333333
5259,"WI_ACBR009",0.745833333333333,0.745833333333333
23707,"WI_VRUY063",0.744827586206897,0.744827586206897
3636,"WI_LVIT035",0.744444444444444,0.744444444444444
10888,"HC_GEN0011",0.744444444444444,0.744444444444444
24232,"WI_PLAR020",0.744444444444444,0.744444444444444
3672,"WI_FRAU009",0.74375,0.74375
17733,"WI_FLYE199",0.742857142857143,0.742857142857143
6188,"WI_ACPE008",0.740740740740741,0.740740740740741
31241,"WI_ACLR001",0.740740740740741,0.740740740740741
4529,"WI_ACBR009",0.737692307692308,0.737692307692308
4205,"WI_CLDE040",0.7375,0.7375
17370,"WI_FLYE199",0.736,0.736
2020,"WI_LVIT035",0.733333333333333,0.733333333333333
17189,"WI_FLYE199",0.733333333333333,0.733333333333333
18679,"WI_FRAO009",0.733333333333333,0.733333333333333
20120,"WI_FRAO009",0.733333333333333,0.733333333333333
21915,"WI_FRAO009",0.733333333333333,0.733333333333333
23515,"WI_PLAR020",0.733333333333333,0.733333333333333
24072,"WI_PHUS124",0.733333333333333,0.733333333333333
4206,"WI_CLDE040",0.731944444444444,0.731944444444444
13115,"WI_ACNE012",0.731944444444444,0.731944444444444
4710,"WI_ACBR009",0.731111111111111,0.731111111111111
9484,"WI_CMBR109",0.730769230769231,0.730769230769231
29441,"WI_CLBW186",0.730555555555556,0.730555555555556
6538,"WI_ANID062",0.73,0.73
4766,"WI_LPIN003",0.728571428571429,0.728571428571429
7630,"WI_VRNI009",0.727272727272727,0.727272727272727
4924,"WI_CLDE040",0.725,0.725
26193,"WI_LVUY032",0.725,0.725
3643,"WI_VRUS115",0.724166666666667,0.724166666666667
9806,"WI_CMID058",0.724137931034483,0.724137931034483
2923,"HC_GEN0009",0.723611111111111,0.723611111111111
3462,"HC_GEN0012",0.722777777777778,0.722777777777778
8032,"WI_FLYE132",0.722727272727273,0.722727272727273
6366,"WI_ACPE008",0.722222222222222,0.722222222222222
6548,"WI_ACPE008",0.722222222222222,0.722222222222222
6727,"WI_ACPE008",0.722222222222222,0.722222222222222
9451,"WI_CLPT035",0.722222222222222,0.722222222222222
10529,"HC_GEN0011",0.722222222222222,0.722222222222222
12176,"WI_FRBR076",0.722222222222222,0.722222222222222
13769,"WI_GLIE007",0.722222222222222,0.722222222222222
