"GS","VARIABLE","TYPE","TEST.AV.SUIT","TEST.SD.SUIT","TEST.MAX.SUIT","TEST.MIN.SUIT","TEST.OMISSION.RATE","TEST.ERROR","TEST.ERR.DIST","TEST.MXE","TEST.SLOPE","TRAIN.AV.SUIT","TRAIN.SD.SUIT","TRAIN.MAX.SUIT","TRAIN.MIN.SUIT","TRAIN.OMISSION.RATE","TRAIN.ERROR","TRAIN.ERR.DIST","TRAIN.MXE","TRAIN.SLOPE"
"2","tmax","_suitability",57.370611183355,42.0626296402897,100,0,0.334200260078023,0.598684296491949,0.666666666666667,0.999940228529367,0.00418732001532461,55.0800653594771,42.501702306107,100,0,0.35718954248366,0.618353046564888,0.666666666666667,0.99996271357088,0.00413390097132317
"3","tmean","_psuitability",96.1235370611183,13.0495482031464,100,0,0.00260078023407022,0.136050074924147,0.566666666666667,0.532046201017999,0.00511077240959591,94.9490196078431,15.2656336518990,100,0,0.00359477124183007,0.160771831174949,0.7,0.597435957134775,0.00568757580374761
"3","tmean","_tsuitability",86.9141742522757,32.2239141816003,100,0,0.114434330299090,0.347601665812209,0.633333333333333,0.717221916598217,0.00206135243458889,87.8728758169935,31.0152371030323,100,0,0.10359477124183,0.332971126738986,0.633333333333333,0.699827850047697,0.00221757161876982
"3","tmean","_suitability",83.7451235370611,33.0083647111257,100,0,0.115734720416125,0.367743974375117,0.666666666666667,0.87695657433391,0.00363617870052644,83.295751633987,32.6484406209918,100,0,0.105882352941176,0.366688457463009,0.7,0.894451884534128,0.00411194256071177
"3","tmin","_psuitability",96.1235370611183,13.0495482031464,100,0,0.00260078023407022,0.136050074924147,0.566666666666667,0.532046201017999,0.00511077240959591,94.9490196078431,15.2656336518990,100,0,0.00359477124183007,0.160771831174949,0.7,0.597435957134775,0.00568757580374761
"3","tmin","_tsuitability",38.778933680104,46.2228582905577,100,0,0.539661898569571,0.766928499794563,0.2,0.995456318369355,0.000878720307668864,40.3748366013072,46.64637845767,100,0,0.526470588235294,0.756989673650224,0.233333333333333,0.997977284647245,0.00072139484421236
"3","tmin","_suitability",37.6059817945384,45.1960949134053,100,0,0.539661898569571,0.770262566483922,0.4,0.995456318369355,0.0013491583266036,38.6039215686274,45.2141175729262,100,0,0.526470588235294,0.76243863998263,0.666666666666667,0.997977284647245,0.00135471968708428
"3","tmax","_psuitability",96.1235370611183,13.0495482031464,100,0,0.00260078023407022,0.136050074924147,0.566666666666667,0.532046201017999,0.00511077240959591,94.9490196078431,15.2656336518990,100,0,0.00359477124183007,0.160771831174949,0.7,0.597435957134775,0.00568757580374761
"3","tmax","_tsuitability",63.4876462938882,43.9898208609075,100,0,0.314694408322497,0.571466527626649,0.633333333333333,0.99979384244461,0.00102298596144177,61.6771241830065,44.270081809395,100,0,0.329084967320261,0.58547779493847,0.633333333333333,0.999969184815397,0.000868489185588118
"3","tmax","_suitability",60.9349804941482,43.3713487449866,100,0,0.317295188556567,0.583498372838632,0.7,0.999969504558,0.00130900058215967,58.6274509803922,43.5109651051289,100,0,0.332679738562091,0.600355994607731,0.7,0.99991094291806,0.00160615747602582
"4","tmean","_psuitability",99.9674902470741,0.901523057468274,100,75,0,0.00901523057468274,0,NA,NA,99.9607843137255,1.14996682835838,100,60,0,0.0115044748327106,0.0666666666666667,NA,NA
"4","tmean","_tsuitability",87.6853055916775,31.3459328326240,100,0,0.0975292587776333,0.336591961051469,0.533333333333333,0.676020765577534,0.00217077299999978,89.1598039215686,29.5128080189473,100,0,0.0895424836601307,0.31436142348444,0.633333333333333,0.659793711708326,0.00227124112118212
"4","tmean","_suitability",87.6853055916775,31.3459328326240,100,0,0.0975292587776333,0.336591961051469,0.533333333333333,0.676020765577534,0.00217077299999978,89.1598039215686,29.5128080189473,100,0,0.0895424836601307,0.31436142348444,0.633333333333333,0.659793711708326,0.00227124112118212
"4","tmin","_psuitability",99.9674902470741,0.901523057468274,100,75,0,0.00901523057468274,0,NA,NA,99.9607843137255,1.14996682835838,100,60,0,0.0115044748327106,0.0666666666666667,NA,NA
"4","tmin","_tsuitability",38.815344603381,45.9269939649138,100,0,0.530559167750325,0.764859982766762,0.2,0.997303761654104,0.000911392109553387,40.271568627451,46.132600666129,100,0,0.513071895424837,0.754652692484768,0.233333333333333,0.999506904376157,0.00081044239044425
"4","tmin","_suitability",38.815344603381,45.9269939649138,100,0,0.530559167750325,0.764859982766762,0.2,0.997303761654104,0.000911392109553387,40.271568627451,46.132600666129,100,0,0.513071895424837,0.754652692484768,0.233333333333333,0.999506904376157,0.00081044239044425
