ID VARIABLE	VARIABLE	ID ESTACION	ESTACION
0242&sid	Temp Suelo 30 cm	0011105020&sid	CARMEN DEL DARIEN
0243&sid	Temp Suelo 50 cm	0011105020&sid	CARMEN DEL DARIEN
0245&sid	Humedad Suelo 10 cm	0011105020&sid	CARMEN DEL DARIEN
0246&sid	Humedad Suelo 30 cm	0011105020&sid	CARMEN DEL DARIEN
0247&sid	Humedad Suelo 50 cm	0011105020&sid	CARMEN DEL DARIEN
0255&sid	Presi髇 Atmosferica (1h)	0011105020&sid	CARMEN DEL DARIEN
0260&sid	Evaporaci髇	0011105020&sid	CARMEN DEL DARIEN
0310&sid	Precipitacion Acumulada Diaria	0011105020&sid	CARMEN DEL DARIEN
9000&sid	Voltaje Acumulador	0011105020&sid	CARMEN DEL DARIEN
0027&sid	Humedad aire 2 m	0011135030&sid	UNGUIA
0068&sid	Temp Aire 2 m	0011135030&sid	UNGUIA
0069&sid	Temp Max Aire 2 m	0011135030&sid	UNGUIA
0070&sid	Temp Min Aire 2 m	0011135030&sid	UNGUIA
0103&sid	Velocidad Viento (10 min) Sens Retirado	0011135030&sid	UNGUIA
0104&sid	Direccion Viento (10min) Sens Retirado	0011135030&sid	UNGUIA
0105&sid	Vel Viento Max (1h)	0011135030&sid	UNGUIA
0107&sid	Dir Vel Max (1h)	0011135030&sid	UNGUIA
0108&sid	Temp Virtual (1h)	0011135030&sid	UNGUIA
0109&sid	Temp Max Virtual	0011135030&sid	UNGUIA
0110&sid	Temp Min Virtual	0011135030&sid	UNGUIA
0237&sid	Radiacion Visible	0011135030&sid	UNGUIA
0239&sid	Radiacion Global	0011135030&sid	UNGUIA
0240&sid	Precipitacion	0011135030&sid	UNGUIA
0241&sid	Temp Suelo 10 cm	0011135030&sid	UNGUIA
0242&sid	Temp Suelo 30 cm	0011135030&sid	UNGUIA
0243&sid	Temp Suelo 50 cm	0011135030&sid	UNGUIA
0245&sid	Humedad Suelo 10 cm	0011135030&sid	UNGUIA
0246&sid	Humedad Suelo 30 cm	0011135030&sid	UNGUIA
0247&sid	Humedad Suelo 50 cm	0011135030&sid	UNGUIA
0255&sid	Presi髇 Atmosferica (1h)	0011135030&sid	UNGUIA
0260&sid	Evaporaci髇	0011135030&sid	UNGUIA
0310&sid	Precipitacion Acumulada Diaria	0011135030&sid	UNGUIA
9000&sid	voltaje acumulador	0011135030&sid	UNGUIA
0027&sid	Humedad aire 2 m	0011159010&sid	CAPURGANA
0068&sid	Temp Aire 2 m	0011159010&sid	CAPURGANA
0069&sid	Temp Max Aire 2 m	0011159010&sid	CAPURGANA
0070&sid	Temp Min Aire 2 m	0011159010&sid	CAPURGANA
0103&sid	Velocidad Viento (10 min)	0011159010&sid	CAPURGANA
0104&sid	Direccion Viento (10min)	0011159010&sid	CAPURGANA
0105&sid	Vel Viento Max (1h)	0011159010&sid	CAPURGANA
0107&sid	Dir Vel Max (1h)	0011159010&sid	CAPURGANA
0108&sid	Temp Virtual (1h)	0011159010&sid	CAPURGANA
0109&sid	Temp Max Virtual	0011159010&sid	CAPURGANA
0110&sid	Temp Min Virtual	0011159010&sid	CAPURGANA
0233&sid	Nivel Radar	0011159010&sid	CAPURGANA
0234&sid	Radar Max	0011159010&sid	CAPURGANA
0235&sid	Radar Min	0011159010&sid	CAPURGANA
0239&sid	Radiacion Global	0011159010&sid	CAPURGANA
0240&sid	Precipitacion	0011159010&sid	CAPURGANA
0255&sid	Presi髇 Atmosferica (1h)	0011159010&sid	CAPURGANA
0310&sid	Precipitacion Acumulada Diaria	0011159010&sid	CAPURGANA
9000&sid	Voltaje Acumulador	0011159010&sid	CAPURGANA
0027&sid	Humedad aire 2 m	0012015100&sid	PISTA INDIRA
0030&sid	Humedad Aire 10 cm	0012015100&sid	PISTA INDIRA
0068&sid	Temp Aire 2 m	0012015100&sid	PISTA INDIRA
0069&sid	Temp Max Aire 2 m	0012015100&sid	PISTA INDIRA
0070&sid	Temp Min Aire 2 m	0012015100&sid	PISTA INDIRA
0075&sid	Temp Aire 10 cm	0012015100&sid	PISTA INDIRA
0076&sid	Temp Max Aire 10 cm	0012015100&sid	PISTA INDIRA
0077&sid	Temp Min Aire 10 cm	0012015100&sid	PISTA INDIRA
0103&sid	Velocidad Viento (10 min)	0012015100&sid	PISTA INDIRA
0104&sid	Direccion Viento (10min)	0012015100&sid	PISTA INDIRA
0105&sid	Vel Viento Max (1h)	0012015100&sid	PISTA INDIRA
0107&sid	Dir Vel Max (1h)	0012015100&sid	PISTA INDIRA
0237&sid	Radiacion Visible	0012015100&sid	PISTA INDIRA
0239&sid	Radiacion Global	0012015100&sid	PISTA INDIRA
0240&sid	Precipitacion	0012015100&sid	PISTA INDIRA
0241&sid	Temp Suelo 10 cm	0012015100&sid	PISTA INDIRA
0242&sid	Temp Suelo 30 cm	0012015100&sid	PISTA INDIRA
0243&sid	Temp Suelo 50 cm	0012015100&sid	PISTA INDIRA
0245&sid	Humedad Suelo 10 cm	0012015100&sid	PISTA INDIRA
0246&sid	Humedad Suelo 30 cm	0012015100&sid	PISTA INDIRA
0247&sid	Humedad Suelo 50 cm	0012015100&sid	PISTA INDIRA
0255&sid	Presi髇 Atmosferica (1h)	0012015100&sid	PISTA INDIRA
0260&sid	Evaporaci髇	0012015100&sid	PISTA INDIRA
0310&sid	Precipitacion Acumulada Diaria	0012015100&sid	PISTA INDIRA
9000&sid	Voltaje Acumulador	0012015100&sid	PISTA INDIRA
0027&sid	Humedad aire 2 m	0012015110&sid	CHIGORODO
0030&sid	Humedad Aire 10 cm	0012015110&sid	CHIGORODO
0068&sid	Temp Aire 2 m	0012015110&sid	CHIGORODO
0069&sid	Temp Max Aire 2 m	0012015110&sid	CHIGORODO
0070&sid	Temp Min Aire 2 m	0012015110&sid	CHIGORODO
0075&sid	Temp Aire 10 cm	0012015110&sid	CHIGORODO
0076&sid	Temp Max Aire 10 cm	0012015110&sid	CHIGORODO
0077&sid	Temp Min Aire 10 cm	0012015110&sid	CHIGORODO
0103&sid	Velocidad Viento (10 min)	0012015110&sid	CHIGORODO
0104&sid	Direccion Viento (10min)	0012015110&sid	CHIGORODO
0105&sid	Vel Viento Max (1h)	0012015110&sid	CHIGORODO
0107&sid	Dir Vel Max (1h)	0012015110&sid	CHIGORODO
0237&sid	Radiacion Visible	0012015110&sid	CHIGORODO
0239&sid	Radiacion Global	0012015110&sid	CHIGORODO
0240&sid	Precipitacion	0012015110&sid	CHIGORODO
0241&sid	Temp Suelo 10 cm	0012015110&sid	CHIGORODO
0242&sid	Temp Suelo 30 cm	0012015110&sid	CHIGORODO
0243&sid	Temp Suelo 50 cm	0012015110&sid	CHIGORODO
0245&sid	Humedad Suelo 10 cm	0012015110&sid	CHIGORODO
0246&sid	Humedad Suelo 30 cm	0012015110&sid	CHIGORODO
0247&sid	Humedad Suelo 50 cm	0012015110&sid	CHIGORODO
0255&sid	Presi髇 Atmosferica (1h)	0012015110&sid	CHIGORODO
0260&sid	Evaporaci髇	0012015110&sid	CHIGORODO
0310&sid	Precipitacion Acumulada Diaria	0012015110&sid	CHIGORODO
9000&sid	voltaje acumulador	0012015110&sid	CHIGORODO
0230&sid	Nivel Instantaneo (Falla Tecnica)	0013037040&sid	CARRIZOLA
0231&sid	Nivel Maximo	0013037040&sid	CARRIZOLA
0232&sid	Nivel Minimo	0013037040&sid	CARRIZOLA
0240&sid	Precipitacion	0013037040&sid	CARRIZOLA
0310&sid	Precipitacion Acumulada Diaria	0013037040&sid	CARRIZOLA
9000&sid	voltaje acumulador	0013037040&sid	CARRIZOLA
0027&sid	Humedad aire 2 m	0013055040&sid	INCODER
0068&sid	Temp Aire 2 m	0013055040&sid	INCODER
0069&sid	Temp Max Aire 2 m	0013055040&sid	INCODER
0070&sid	Temp Min Aire 2 m	0013055040&sid	INCODER
0103&sid	Velocidad Viento (10 min)	0013055040&sid	INCODER
0104&sid	Direccion Viento (10min)	0013055040&sid	INCODER
0105&sid	Vel Viento Max (1h)	0013055040&sid	INCODER
0107&sid	Dir Vel Max (1h)	0013055040&sid	INCODER
0108&sid	Temp Virtual (1h)	0013055040&sid	INCODER
0109&sid	Temp Max Virtual	0013055040&sid	INCODER
0110&sid	Temp Min Virtual	0013055040&sid	INCODER
0239&sid	Radiacion Global	0013055040&sid	INCODER
0240&sid	Precipitacion	0013055040&sid	INCODER
0255&sid	Presi髇 Atmosferica (1h)	0013055040&sid	INCODER
0310&sid	Precipitacion Acumulada Diaria	0013055040&sid	INCODER
9000&sid	voltaje acumulador	0013055040&sid	INCODER
0230&sid	Nivel Instantaneo	0013057010&sid	NUEVA COLOMBIA
0231&sid	Nivel Maximo	0013057010&sid	NUEVA COLOMBIA
0232&sid	Nivel Minimo	0013057010&sid	NUEVA COLOMBIA
0240&sid	Precipitacion	0013057010&sid	NUEVA COLOMBIA
0310&sid	Precipitacion Acumulada Diaria	0013057010&sid	NUEVA COLOMBIA
9000&sid	voltaje acumulador	0013057010&sid	NUEVA COLOMBIA
0230&sid	Nivel Instantaneo	0013067020&sid	MONTERIA
0231&sid	Nivel Maximo	0013067020&sid	MONTERIA
0232&sid	Nivel Minimo	0013067020&sid	MONTERIA
0240&sid	Precipitacion	0013067020&sid	MONTERIA
0310&sid	Precipitacion Acumulada Diaria	0013067020&sid	MONTERIA
9000&sid	voltaje acumulador	0013067020&sid	MONTERIA
0027&sid	Humedad aire 2 m	0013085050&sid	LORICA ITA
0030&sid	Humedad Aire 10 cm	0013085050&sid	LORICA ITA
0068&sid	Temp Aire 2 m	0013085050&sid	LORICA ITA
0069&sid	Temp Max Aire 2 m	0013085050&sid	LORICA ITA
0070&sid	Temp Min Aire 2 m	0013085050&sid	LORICA ITA
0075&sid	Temp Aire 10 cm	0013085050&sid	LORICA ITA
0076&sid	Temp Max Aire 10 cm	0013085050&sid	LORICA ITA
0077&sid	Temp Min Aire 10 cm	0013085050&sid	LORICA ITA
0103&sid	Velocidad Viento (10 min)	0013085050&sid	LORICA ITA
0104&sid	Direccion Viento (10min)	0013085050&sid	LORICA ITA
0105&sid	Vel Viento Max (1h)	0013085050&sid	LORICA ITA
0107&sid	Dir Vel Max (1h)	0013085050&sid	LORICA ITA
0108&sid	Temp Virtual (1h)	0013085050&sid	LORICA ITA
0109&sid	Temp Max Virtual	0013085050&sid	LORICA ITA
0110&sid	Temp Min Virtual	0013085050&sid	LORICA ITA
0237&sid	Radiacion Visible	0013085050&sid	LORICA ITA
0239&sid	Radiacion Global	0013085050&sid	LORICA ITA
0240&sid	Precipitacion	0013085050&sid	LORICA ITA
0241&sid	Temp Suelo 10 cm	0013085050&sid	LORICA ITA
0242&sid	Temp Suelo 30 cm	0013085050&sid	LORICA ITA
0243&sid	Temp Suelo 50 cm	0013085050&sid	LORICA ITA
0245&sid	Humedad Suelo 10 cm	0013085050&sid	LORICA ITA
0246&sid	Humedad Suelo 30 cm	0013085050&sid	LORICA ITA
0247&sid	Humedad Suelo 50 cm	0013085050&sid	LORICA ITA
0255&sid	Presi髇 Atmosferica (1h)	0013085050&sid	LORICA ITA
0260&sid	Evaporaci髇	0013085050&sid	LORICA ITA
0310&sid	Precipitacion Acumulada Diaria	0013085050&sid	LORICA ITA
9000&sid	voltaje acumulador	0013085050&sid	LORICA ITA
0027&sid	Humedad aire 2 m	0013095010&sid	COVE袮S
0068&sid	Temp Aire 2 m	0013095010&sid	COVE袮S
0069&sid	Temp Max Aire 2 m	0013095010&sid	COVE袮S
0070&sid	Temp Min Aire 2 m	0013095010&sid	COVE袮S
0103&sid	Velocidad Viento (10 min)	0013095010&sid	COVE袮S
0104&sid	Direccion Viento (10min)	0013095010&sid	COVE袮S
0239&sid	Radiacion Global	0013095010&sid	COVE袮S
0240&sid	Precipitacion	0013095010&sid	COVE袮S
0255&sid	Presi髇 Atmosferica (1h)	0013095010&sid	COVE袮S
0310&sid	Precipitacion Acumulada Diaria	0013095010&sid	COVE袮S
9000&sid	voltaje acumulador	0013095010&sid	COVE袮S
0027&sid	Humedad aire 2 m	0014017001&sid	TESORO INVEMAR
0068&sid	Temp Aire 2 m	0014017001&sid	TESORO INVEMAR
0103&sid	Velocidad viento (10 min)	0014017001&sid	TESORO INVEMAR
0104&sid	Direccion Viento (10min)	0014017001&sid	TESORO INVEMAR
0239&sid	Radiacion Global	0014017001&sid	TESORO INVEMAR
0240&sid	Precipitaci髇	0014017001&sid	TESORO INVEMAR
0255&sid	Presi髇 Atmosferica (1h)	0014017001&sid	TESORO INVEMAR
0400&sid	Clorofila	0014017001&sid	TESORO INVEMAR
0401&sid	Turbidez	0014017001&sid	TESORO INVEMAR
0402&sid	Oxigeno disuelto	0014017001&sid	TESORO INVEMAR
0403&sid	pH	0014017001&sid	TESORO INVEMAR
0404&sid	Temperatura del agua	0014017001&sid	TESORO INVEMAR
0405&sid	Conductividad	0014017001&sid	TESORO INVEMAR
0406&sid	Salinidad	0014017001&sid	TESORO INVEMAR
0407&sid	Nivel del mar	0014017001&sid	TESORO INVEMAR
9000&sid	voltaje acumulador	0014017001&sid	TESORO INVEMAR
0230&sid	Nivel instantaneo	0014019030&sid	ESC NAVAL CIOH
0231&sid	Nivel M醲imo	0014019030&sid	ESC NAVAL CIOH
0232&sid	Nivel M韓imo	0014019030&sid	ESC NAVAL CIOH
0240&sid	Precipitacion	0014019030&sid	ESC NAVAL CIOH
0310&sid	Precipitacion Acumulada Diaria	0014019030&sid	ESC NAVAL CIOH
9000&sid	voltaje acumulador	0014019030&sid	ESC NAVAL CIOH
0027&sid	Humedad aire 2 m	0015015120&sid	UNIV TECNOLOGICA DEL MAGDALENA
0068&sid	Temp Aire 2 m	0015015120&sid	UNIV TECNOLOGICA DEL MAGDALENA
0069&sid	Temp Max Aire 2 m	0015015120&sid	UNIV TECNOLOGICA DEL MAGDALENA
0070&sid	Temp Min Aire 2 m	0015015120&sid	UNIV TECNOLOGICA DEL MAGDALENA
0103&sid	Velocidad Viento (10 min)	0015015120&sid	UNIV TECNOLOGICA DEL MAGDALENA
0104&sid	Direccion Viento (10min)	0015015120&sid	UNIV TECNOLOGICA DEL MAGDALENA
0105&sid	Vel Viento Max (1h)	0015015120&sid	UNIV TECNOLOGICA DEL MAGDALENA
0107&sid	Dir Vel Max (1h)	0015015120&sid	UNIV TECNOLOGICA DEL MAGDALENA
0108&sid	Temp Virtual (1h)	0015015120&sid	UNIV TECNOLOGICA DEL MAGDALENA
0109&sid	Temp Max Virtual	0015015120&sid	UNIV TECNOLOGICA DEL MAGDALENA
0110&sid	Temp Min Virtual	0015015120&sid	UNIV TECNOLOGICA DEL MAGDALENA
0239&sid	Radiacion Global	0015015120&sid	UNIV TECNOLOGICA DEL MAGDALENA
0240&sid	Precipitacion	0015015120&sid	UNIV TECNOLOGICA DEL MAGDALENA
0255&sid	Presi髇 Atmosferica (1h)	0015015120&sid	UNIV TECNOLOGICA DEL MAGDALENA
0310&sid	Precipitacion Acumulada Diaria	0015015120&sid	UNIV TECNOLOGICA DEL MAGDALENA
9000&sid	voltaje acumulador	0015015120&sid	UNIV TECNOLOGICA DEL MAGDALENA
0027&sid	Humedad Aire 2 Mt	0015017011&sid	PUNTA BETIN
0068&sid	Temperatura Aire 2Mt	0015017011&sid	PUNTA BETIN
0069&sid	Temp Max Aire 2 Mt	0015017011&sid	PUNTA BETIN
0070&sid	Temp Min Aire 2 Mt	0015017011&sid	PUNTA BETIN
0103&sid	Velocidad Viento	0015017011&sid	PUNTA BETIN
0104&sid	Direccion Viento	0015017011&sid	PUNTA BETIN
0105&sid	Velocidad Viento Maxima	0015017011&sid	PUNTA BETIN
0107&sid	Direccion Vel Vto Maxima	0015017011&sid	PUNTA BETIN
0239&sid	Radiacion Global	0015017011&sid	PUNTA BETIN
0240&sid	Precipitacion	0015017011&sid	PUNTA BETIN
0255&sid	Presion Atmosferica	0015017011&sid	PUNTA BETIN
9000&sid	Voltaje Acumulador	0015017011&sid	PUNTA BETIN
0230&sid	Nivel Instantaneo	0015017060&sid	BOCAT STA MARTA
0231&sid	Nivel Maximo	0015017060&sid	BOCAT STA MARTA
0232&sid	Nivel Minimo	0015017060&sid	BOCAT STA MARTA
0240&sid	Precipitacion	0015017060&sid	BOCAT STA MARTA
0310&sid	Precipitacion Acumulada Diaria	0015017060&sid	BOCAT STA MARTA
9000&sid	Voltaje Acumulador	0015017060&sid	BOCAT STA MARTA
0027&sid	Humedad Aire 2 Mt	0015065040&sid	LA PAULINA
0068&sid	Temp Aire 2 Mt	0015065040&sid	LA PAULINA
0069&sid	Temp Max Aire 2 Mt	0015065040&sid	LA PAULINA
0070&sid	Temp Min Aire 2 Mt	0015065040&sid	LA PAULINA
0103&sid	Velocidad Viento (10Min)	0015065040&sid	LA PAULINA
0104&sid	Direccion Viento	0015065040&sid	LA PAULINA
0105&sid	Velocidad Vto Max	0015065040&sid	LA PAULINA
0106&sid	Tiempo Vel Viento Max.	0015065040&sid	LA PAULINA
0107&sid	Dir Vel Max	0015065040&sid	LA PAULINA
0240&sid	Precipitacion	0015065040&sid	LA PAULINA
9000&sid	Voltaje Acumulador	0015065040&sid	LA PAULINA
0027&sid	Humedad Aire 2Mt	0015065190&sid	MONGUI
0068&sid	Temp Aire 2Mt	0015065190&sid	MONGUI
0069&sid	Temp Max Aire 2 Mt	0015065190&sid	MONGUI
0070&sid	Temp Min Aire 2 Mt	0015065190&sid	MONGUI
0103&sid	Velocidad Viento (10 Minutos)	0015065190&sid	MONGUI
0104&sid	Direccion Viento	0015065190&sid	MONGUI
0105&sid	Vel Max Viento	0015065190&sid	MONGUI
0107&sid	Dir Vel Max	0015065190&sid	MONGUI
0240&sid	Precipitacion	0015065190&sid	MONGUI
0310&sid	Precipitacion Acumulada Diaria	0015065190&sid	MONGUI
9000&sid	Voltaje Acumulador	0015065190&sid	MONGUI
0230&sid	Nivel Instantaneo	0015067020&sid	EL CERCADO
0231&sid	Nivel Maximo	0015067020&sid	EL CERCADO
0232&sid	Nivel Minimo	0015067020&sid	EL CERCADO
0240&sid	precipitacion	0015067020&sid	EL CERCADO
9000&sid	voltaje acumulador	0015067020&sid	EL CERCADO
0230&sid	Nivel instant醤eo	0015067050&sid	CUESTECITAS
0231&sid	Nivel m醲imo	0015067050&sid	CUESTECITAS
0232&sid	Nivel m韓imo	0015067050&sid	CUESTECITAS
0240&sid	Precipitaci髇	0015067050&sid	CUESTECITAS
9000&sid	voltaje acumulador	0015067050&sid	CUESTECITAS
0230&sid	Nivel instant醤eo	0015067150&sid	PTE GUAJIRO
0231&sid	Nivel m醲imo	0015067150&sid	PTE GUAJIRO
0232&sid	Nivel m韓imo	0015067150&sid	PTE GUAJIRO
0240&sid	Precipitaci髇	0015067150&sid	PTE GUAJIRO
9000&sid	Voltaje Acumulador	0015067150&sid	PTE GUAJIRO
0230&sid	Nivel instant醤eo	0015067200&sid	EL SILENCIO
0231&sid	Nivel m醲imo	0015067200&sid	EL SILENCIO
0232&sid	Nivel m韓imo	0015067200&sid	EL SILENCIO
0240&sid	Precipitaci髇	0015067200&sid	EL SILENCIO
9000&sid	Voltaje Acumulador	0015067200&sid	EL SILENCIO
0230&sid	Nivel instant醤eo	0015067210&sid	CARACOLI
0231&sid	Nivel m醲imo	0015067210&sid	CARACOLI
0232&sid	Nivel m韓imo	0015067210&sid	CARACOLI
0240&sid	Precipitaci髇	0015067210&sid	CARACOLI
0310&sid	Precipitacion Acumulada Diaria	0015067210&sid	CARACOLI
9000&sid	Voltaje Acumulador	0015067210&sid	CARACOLI
0230&sid	Nivel instant醤eo	0015067220&sid	PUENTE CARRETERA
0231&sid	Nivel m醲imo	0015067220&sid	PUENTE CARRETERA
0232&sid	Nivel m韓imo	0015067220&sid	PUENTE CARRETERA
0240&sid	Precipitaci髇	0015067220&sid	PUENTE CARRETERA
0310&sid	Precipitacion Acumulada Diaria	0015067220&sid	PUENTE CARRETERA
9000&sid	voltaje acumulador	0015067220&sid	PUENTE CARRETERA
0027&sid	Humedad aire 2 m	0015075150&sid	PAICI
0030&sid	Humedad Aire 10 cm	0015075150&sid	PAICI
0068&sid	Temp Aire 2 m	0015075150&sid	PAICI
0069&sid	Temp Max Aire 2 m	0015075150&sid	PAICI
0070&sid	Temp Min Aire 2 m	0015075150&sid	PAICI
0075&sid	Temp Aire 10 cm	0015075150&sid	PAICI
0076&sid	Temp Max Aire 10 cm	0015075150&sid	PAICI
0077&sid	Temp Min Aire 10 cm	0015075150&sid	PAICI
0103&sid	Velocidad Viento (10 min)	0015075150&sid	PAICI
0104&sid	Direccion Viento (10min)	0015075150&sid	PAICI
0105&sid	Vel Viento Max (1h)	0015075150&sid	PAICI
0107&sid	Dir Vel Max (1h)	0015075150&sid	PAICI
0108&sid	Temp Virtual (1h)	0015075150&sid	PAICI
0109&sid	Temp Max Virtual	0015075150&sid	PAICI
0110&sid	Temp Min Virtual	0015075150&sid	PAICI
0237&sid	Radiacion Visible	0015075150&sid	PAICI
0239&sid	Radiacion Global	0015075150&sid	PAICI
0240&sid	Precipitacion	0015075150&sid	PAICI
0241&sid	Temp Suelo 10 cm	0015075150&sid	PAICI
0245&sid	Humedad Suelo 10 cm	0015075150&sid	PAICI
0260&sid	Evaporaci髇	0015075150&sid	PAICI
9000&sid	Voltaje Acumulador	0015075150&sid	PAICI
0027&sid	Humedad Aire 2 Mt	0015077001&sid	PTO BOLIVAR INVEMAR
0068&sid	Temperatura Aire 2 Mt	0015077001&sid	PTO BOLIVAR INVEMAR
0069&sid	Temp Max Aire 2 Mt	0015077001&sid	PTO BOLIVAR INVEMAR
0070&sid	Temp Min Aire 2 Mt	0015077001&sid	PTO BOLIVAR INVEMAR
0103&sid	Velocidad Viento	0015077001&sid	PTO BOLIVAR INVEMAR
0104&sid	Direccion Viento	0015077001&sid	PTO BOLIVAR INVEMAR
0105&sid	Velocidad Viento Maxima	0015077001&sid	PTO BOLIVAR INVEMAR
0107&sid	Direccion Vel Vto Maxima	0015077001&sid	PTO BOLIVAR INVEMAR
0239&sid	Radiacion Global	0015077001&sid	PTO BOLIVAR INVEMAR
0240&sid	Precipitacion	0015077001&sid	PTO BOLIVAR INVEMAR
0255&sid	Presion Atmosferica	0015077001&sid	PTO BOLIVAR INVEMAR
9000&sid	Voltaje Acumulador	0015077001&sid	PTO BOLIVAR INVEMAR
0027&sid	Humedad aire 2 m	0015079010&sid	PTO BOLIVAR
0068&sid	Temp Aire 2 m	0015079010&sid	PTO BOLIVAR
0069&sid	Temp Max Aire 2 m	0015079010&sid	PTO BOLIVAR
0070&sid	Temp Min Aire 2 m	0015079010&sid	PTO BOLIVAR
0103&sid	Velocidad Viento (10 min)	0015079010&sid	PTO BOLIVAR
0104&sid	Direccion Viento (10min)	0015079010&sid	PTO BOLIVAR
0105&sid	Vel Viento Max (1h)	0015079010&sid	PTO BOLIVAR
0107&sid	Dir Vel Max (1h)	0015079010&sid	PTO BOLIVAR
0108&sid	Temp Virtual (1h)	0015079010&sid	PTO BOLIVAR
0109&sid	Temp Max Virtual	0015079010&sid	PTO BOLIVAR
0110&sid	Temp Min Virtual	0015079010&sid	PTO BOLIVAR
0233&sid	Nivel Radar	0015079010&sid	PTO BOLIVAR
0234&sid	Radar Max	0015079010&sid	PTO BOLIVAR
0235&sid	Radar Min	0015079010&sid	PTO BOLIVAR
0239&sid	Radiacion Global	0015079010&sid	PTO BOLIVAR
0240&sid	Precipitacion	0015079010&sid	PTO BOLIVAR
0255&sid	Presi髇 Atmosferica (1h)	0015079010&sid	PTO BOLIVAR
9000&sid	voltaje acumulador	0015079010&sid	PTO BOLIVAR
0027&sid	Humedad aire 2 m	0015085050&sid	TOROMANA
0068&sid	Temp Aire 2 m	0015085050&sid	TOROMANA
0069&sid	Temp Max Aire 2 m	0015085050&sid	TOROMANA
0070&sid	Temp Min Aire 2 m	0015085050&sid	TOROMANA
0103&sid	Velocidad Viento (10 min)	0015085050&sid	TOROMANA
0104&sid	Direccion Viento (10min)	0015085050&sid	TOROMANA
0105&sid	Vel Viento Max (1h)	0015085050&sid	TOROMANA
0107&sid	Dir Vel Max (1h)	0015085050&sid	TOROMANA
0108&sid	Temp Virtual (1h)	0015085050&sid	TOROMANA
0109&sid	Temp Max Virtual	0015085050&sid	TOROMANA
0110&sid	Temp Min Virtual	0015085050&sid	TOROMANA
0237&sid	Radiacion Visible	0015085050&sid	TOROMANA
0239&sid	Radiacion Global	0015085050&sid	TOROMANA
0240&sid	Precipitacion	0015085050&sid	TOROMANA
0241&sid	Temp Suelo 10 cm	0015085050&sid	TOROMANA
0242&sid	Temp Suelo 30 cm	0015085050&sid	TOROMANA
0243&sid	Temp Suelo 50 cm	0015085050&sid	TOROMANA
0245&sid	Humedad Suelo 10 cm	0015085050&sid	TOROMANA
0246&sid	Humedad Suelo 30 cm	0015085050&sid	TOROMANA
0247&sid	Humedad Suelo 50 cm	0015085050&sid	TOROMANA
0255&sid	Presi髇 Atmosferica (1h)	0015085050&sid	TOROMANA
