rcp	gcm	ensemble	pr	tasmin	tas	tasmin	hur	rsds	sfcWind
historical	mohc_hadcm3	r8i1p1	19591201-20051230.nc	19591201-20051230.nc	19591201-20051230.nc	19591201-20051230.nc	19591201-20051230.nc	N/A	N/A	N/A
historical	mohc_hadcm3	r9i1p1	19591201-20051230.nc	19591201-20051230.nc	19591201-20051230.nc	19591201-20051230.nc	19591201-20051230.nc	N/A	N/A	N/A
historical	mohc_hadgem2_cc	r1i1p1	19591201-20051130.nc	19591201-20051130.nc	19591201-20051130.nc	19591201-20051130.nc	19591201-20051130.nc	19591201-20051130.nc	19641201-20051130.nc	N/A
historical	mohc_hadgem2_es	r1i1p1	19591201-20051130.nc	19591201-20051130.nc	19591201-20051130.nc	19591201-20051130.nc	19591201-20051130.nc	N/A	19591201-20051130.nc	N/A
historical	mohc_hadgem2_es	r2i1p1	19600101-20051230.nc	19600101-20051230.nc	19600101-20051230.nc	19600101-20051230.nc	19600101-20051230.nc	N/A	N/A	N/A
historical	mohc_hadgem2_es	r3i1p1	19591201-20051230.nc	19591201-20051230.nc	19591201-20051230.nc	19591201-20051230.nc	19591201-20051230.nc	N/A	N/A	N/A
historical	mohc_hadgem2_es	r4i1p1	19591201-20051130.nc	19591201-20051130.nc	19591201-20051130.nc	19591201-20051130.nc	19591201-20051130.nc	N/A	N/A	N/A
historical	mpi_esm_lr	r1i1p1	19600101-20051231.nc	19600101-20051231.nc	19600101-20051231.nc	19600101-20051231.nc	19600101-20051231.nc	19600101-20051231.nc	19600101-20051231.nc	19600101-20051231.nc
historical	mpi_esm_lr	r2i1p1	19600101-20051231.nc	19600101-20051231.nc	19600101-20051231.nc	19600101-20051231.nc	19600101-20051231.nc	19600101-20051231.nc	19600101-20051231.nc	19600101-20051231.nc
historical	mpi_esm_lr	r3i1p1	19600101-20051231.nc	19600101-20051231.nc	19600101-20051231.nc	19600101-20051231.nc	19600101-20051231.nc	19600101-20051231.nc	19600101-20051231.nc	19600101-20051231.nc
historical	mpi_esm_mr	r1i1p1	19600101-20051231.nc	19600101-20051231.nc	19600101-20051231.nc	19600101-20051231.nc	19600101-20051231.nc	19600101-20051231.nc	19600101-20051231.nc	19600101-20051231.nc
historical	mri_cgcm3	r1i1p1	19600101-20051231.nc	19600101-20051231.nc	19600101-20051231.nc	19600101-20051231.nc	19600101-20051231.nc	19600101-20051231.nc	19600101-20051231.nc	19600101-20051231.nc
historical	ncar_ccsm4	r1i1p1	19550101-20051231.nc	19550101-20051231.nc	19550101-20051231.nc	19550101-20051231.nc	19550101-20051231.nc	N/A	N/A	N/A
historical	ncar_ccsm4	r2i1p1	19550101-20051231.nc	19550101-20051231.nc	19550101-20051231.nc	19550101-20051231.nc	19550101-20051231.nc	N/A	N/A	N/A
historical	ncar_ccsm4	r3i1p1	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A
historical	ncar_ccsm4	r4i1p1	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A
historical	ncar_ccsm4	r5i1p1	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A
historical	ncc_noresm1_m	r1i1p1	19500101-20051231.nc	19500101-20051231.nc	19500101-20051231.nc	19500101-20051231.nc	19500101-20051231.nc	19600101-20051231.nc	19500101-20051231.nc	N/A
