rcp	gcm	ensemble	prec	tmax	tmean	tmin	hur	rsds	obs
historical	ccsm4	r2i1p1	1850-2005	1850-2005	1850-2005	1850-2005	no	1850-2005	
historical	ccsm4	r3i1p1	1850-2005	1850-2005	1850-2005	1850-2005	1850-2005	1850-2005	
historical	ccsm4	r4i1p1	1850-2005	1850-2005	1850-2005	1850-2005	1850-2005	1850-2005	
historical	ccsm4	r5i1p1	1850-2005	1850-2005	1850-2005	1850-2005	1850-2005	1850-2005	
historical	ccsm4	r6i1p1	1850-2005	1850-2005	1850-2005	1850-2005	no	no	
historical	cesm1_bgc	r1i1p1	1850-2005	1850-2005	1850-2005	1850-2005	no	no	
historical	cesm1_cam5	r1i1p1	1850-2005	1850-2005	1850-2005	1850-2005	no	no	
historical	cesm1_cam5	r2i1p1	1850-2005	1850-2005	1850-2005	1850-2005	no	no	
historical	cesm1_cam5	r3i1p1	1850-2005	1850-2005	1850-2005	1850-2005	no	no	
historical	cesm1_cam5_1_fv2	r1i1p1	1850-2005	no	1850-2005	no	no	no	ins-var
historical	cesm1_cam5_1_fv2	r2i1p1	1850-2005	no	1850-2005	no	no	no	ins-var
historical	cesm1_cam5_1_fv2	r3i1p1	1850-2005	no	1850-2005	no	no	no	ins-var
historical	cesm1_cam5_1_fv2	r4i1p1	1850-2005	no	1850-2005	no	no	no	ins-var
historical	cesm1_fastchem	r1i1p1	1850-2005	1850-2005	1850-2005	1850-2005	no	no	
historical	cesm1_fastchem	r2i1p1	1850-2005	1850-2005	1850-2005	1850-2005	no	no	
historical	cesm1_fastchem	r3i1p1	1850-2005	1850-2005	1850-2005	1850-2005	no	no	
historical	cesm1_waccm	r1i1p1	1850-2005	1850-2005	1850-2005	1850-2005	no	no	
historical	cesm1_waccm	r2i1p1	1955-2005	1955-2005	1955-2005	1955-2005	no	no	
historical	cesm1_waccm	r3i1p1	1955-2005	1955-2005	1955-2005	1955-2005	no	no	
historical	cesm1_waccm	r4i1p1	1955-2005	1955-2005	1955-2005	1955-2005	no	no	
historical	cmcc_cesm	r1i1p1	1850-2005	1960-2005	1850-2005	1960-2005	no	no	
historical	cmcc_cm	r1i1p1	1850-2005	no	1850-2005	no	no	no	ins-var
historical	cmcc_cms	r1i1p1	1850-2005	no	1850-2005	no	no	no	ins-var
historical	cnrm_cm5	r10i1p1	1850-2005	1850-2005	1850-2005	1850-2005	no	no	
historical	cnrm_cm5	r1i1p1	1850-2005	no	1850-2005	no	no	no	ins-var
historical	cnrm_cm5	r2i1p1	1850-2005	1850-2005	1850-2005	no	no	no	tmin
historical	cnrm_cm5	r3i1p1	1850-2005	1850-2005	1850-2005	1850-2005	no	no	
historical	cnrm_cm5	r4i1p1	1850-2005	1850-2005	1850-2005	1850-2005	no	no	
historical	cnrm_cm5	r5i1p1	1850-2005	1850-2005	1850-2005	1850-2005	no	no	
historical	cnrm_cm5	r6i1p1	1850-2005	1850-2005	1850-2005	1850-2005	no	no	
historical	cnrm_cm5	r7i1p1	1850-2005	1850-2005	1850-2005	1850-2005	no	no	
historical	cnrm_cm5	r8i1p1	1850-2005	1850-2005	1850-2005	1850-2005	no	no	
historical	cnrm_cm5	r9i1p1	1850-2005	1850-2005	1850-2005	1850-2005	no	no	
historical	csiro_mk3_6_0	r10i1p1	1850-2005	1850-2005	1850-2005	1850-2005	no	no	
historical	csiro_mk3_6_0	r1i1p1	1850-2005	1850-2005	1850-2005	1850-2005	no	no	
historical	csiro_mk3_6_0	r2i1p1	1850-2005	1850-2005	1850-2005	1850-2005	no	1850-2005	
historical	csiro_mk3_6_0	r3i1p1	1850-2005	1850-2005	1850-2005	1850-2005	no	1850-2005	
historical	csiro_mk3_6_0	r4i1p1	1850-2005	no	1850-2005	1850-2005	no	1850-2005	tmax
historical	csiro_mk3_6_0	r5i1p1	1850-2005	1850-2005	1850-2005	1850-2005	no	1850-2005	
historical	csiro_mk3_6_0	r6i1p1	1850-2005	1850-2005	1850-2005	1850-2005	no	1850-2005	
historical	csiro_mk3_6_0	r7i1p1	1850-2005	1850-2005	1850-2005	1850-2005	no	no	
historical	csiro_mk3_6_0	r8i1p1	1850-2005	1850-2005	1850-2005	1850-2005	no	no	
historical	csiro_mk3_6_0	r9i1p1	1850-2005	1850-2005	1850-2005	1850-2005	no	no	
historical	ec_earth	r11i1p1	1850-2012	1950-2012	1850-2012	1950-2012	no	no	
historical	ec_earth	r12i1p1	1850-2012	1850-2012	1850-2012	1850-2012	no	no	
historical	ec_earth	r13i1p1	1950-2009	1950-2009	1950-2009	1950-2009	no	no	
historical	ec_earth	r14i1p1	1950-2009	1950-2009	1950-2009	1950-2009	no	no	
historical	ec_earth	r1i1p1	1850-2009	1910-2009	1850-2009	1910-2005	no	no	
historical	ec_earth	r2i1p1	1850-2012	1850-2012	1850-2012	1850-2012	no	no	
historical	ec_earth	r6i1p1	1850-2005	no	1850-2005	no	no	no	ins-var
historical	ec_earth	r7i1p1	no	1850-2012	no	1850-2012	no	no	ins-var
historical	ec_earth	r8i1p1	1850-2012	1850-2012	1850-2012	1850-2012	no	no	
historical	ec_earth	r9i1p1	1850-2012	1850-2012	1850-2012	1850-2012	no	no	
historical	fgoals_g2	r1i1p1	1850-2014	1950-2005	1850-2014	1950-2005	no	no	
historical	fgoals_g2	r2i1p1	1850-2014	1950-2009	1850-2014	1950-2009	no	no	
historical	fgoals_g2	r3i1p1	1850-2006	1950-2006	1850-2006	1950-2006	no	no	
historical	fgoals_g2	r4i1p1	1850-2048	1950-2009	1850-2048	1950-2009	no	no	
historical	fgoals_g2	r5i1p1	1850-2009	1950-2009	1850-2009	1950-2009	no	no	
historical	fgoals_s2	r1i1p1	1850-2005	no	1850-2005	1850-2005	no	no	tmax
historical	fgoals_s2	r2i1p1	1850-2005	1850-2005	1850-2005	1850-2005	no	no	
historical	fgoals_s2	r3i1p1	1850-2005	1850-2005	1850-2005	1850-2005	no	no	
historical	fio_esm	r1i1p1	1850-2005	1850-2005	1850-2005	1850-2005	no	no	
historical	fio_esm	r2i1p1	1850-2005	1850-2005	1850-2005	1850-2005	no	no	
historical	fio_esm	r3i1p1	1850-2005	1850-2005	1850-2005	1850-2005	no	no	
historical	gfdl_cm2p1	r10i1p1	1861-2040	no	1861-2040	no	no	no	ins-var
historical	gfdl_cm2p1	r1i1p1	1861-2040	no	1861-2040	no	no	no	ins-var
historical	gfdl_cm2p1	r2i1p1	1861-2040	no	1861-2040	no	no	no	ins-var
historical	gfdl_cm2p1	r3i1p1	1861-2040	no	1861-2040	no	no	no	ins-var
historical	gfdl_cm2p1	r4i1p1	1861-2040	no	1861-2040	no	no	no	ins-var
historical	gfdl_cm2p1	r5i1p1	1861-2040	no	1861-2040	no	no	no	ins-var
historical	gfdl_cm2p1	r6i1p1	1861-2040	no	1861-2040	no	no	no	ins-var
historical	gfdl_cm2p1	r7i1p1	1861-2040	no	1861-2040	no	no	no	ins-var
historical	gfdl_cm2p1	r8i1p1	1861-2040	no	1861-2040	no	no	no	ins-var
historical	gfdl_cm2p1	r9i1p1	1861-2040	no	1861-2040	no	no	no	ins-var
historical	gfdl_cm3	r1i1p1	1860-2005	1860-2005	1860-2005	1860-2005	no	no	
historical	gfdl_cm3	r2i1p1	1860-2005	1860-2005	1860-2005	1860-2005	no	no	
historical	gfdl_cm3	r3i1p1	1860-2005	1860-2005	1860-2005	1860-2005	no	no	
historical	gfdl_cm3	r4i1p1	1860-2005	1860-2005	1860-2005	1860-2005	no	no	
historical	gfdl_cm3	r5i1p1	1860-2005	1860-2005	1860-2005	1860-2005	no	no	
historical	gfdl_esm2g	r1i1p1	1861-2005	1861-2005	1861-2005	1861-2005	no	no	
historical	gfdl_esm2g	r2i1p1	1861-2005	no	1861-2005	no	no	no	ins-var
historical	gfdl_esm2g	r3i1p1	1861-2005	no	1861-2005	no	no	no	ins-var
historical	gfdl_esm2m	r1i1p1	1861-2005	1861-2005	1861-2005	1861-2005	no	no	
historical	giss_e2_h	r1i1p1	1850-2005	1850-2005	1850-2005	1850-2005	no	no	
historical	giss_e2_h	r1i1p2	1850-2005	1850-2005	1850-2005	1850-2005	no	no	
historical	giss_e2_h	r1i1p3	1850-2005	1850-2005	1850-2005	1850-2005	no	no	
historical	giss_e2_h	r2i1p1	1850-2005	1850-2005	1850-2005	1850-2005	no	no	
historical	giss_e2_h	r2i1p2	1850-2005	1850-2005	1850-2005	1850-2005	no	no	
historical	giss_e2_h	r2i1p3	1850-2005	1850-2005	1850-2005	1850-2005	no	no	
historical	giss_e2_h	r3i1p1	1850-2005	1850-2005	1850-2005	1850-2005	no	no	
historical	giss_e2_h	r3i1p2	1850-2005	1850-2005	1850-2005	1850-2005	no	no	
historical	giss_e2_h	r3i1p3	1850-2005	1850-2005	1850-2005	1850-2005	no	no	
historical	giss_e2_h	r4i1p1	1850-2005	1850-2005	1850-2005	1850-2005	no	no	
historical	giss_e2_h	r4i1p2	1850-2005	1850-2005	1850-2005	1850-2005	no	no	
historical	giss_e2_h	r4i1p3	1850-2005	1850-2005	1850-2005	1850-2005	no	no	
historical	giss_e2_h	r5i1p1	1850-2005	1850-2005	1850-2005	1850-2005	no	no	
historical	giss_e2_h	r5i1p2	1850-2005	1850-2005	1850-2005	1850-2005	no	no	
historical	giss_e2_h	r5i1p3	1850-2005	1850-2005	1850-2005	1850-2005	no	no	
historical	giss_e2_h_cc	r1i1p1	1850-2010	1850-2010	1850-2010	1850-2010	no	no	
historical	giss_e2_r	r1i1p1	1850-2005	1850-2005	1850-2005	1850-2005	no	no	
historical	giss_e2_r	r1i1p121	1851-2005	1851-2005	1851-2005	1851-2005	no	no	
historical	giss_e2_r	r1i1p122	1851-2005	1851-2005	1851-2005	1851-2005	no	no	
historical	giss_e2_r	r1i1p124	1851-2005	1851-2005	1851-2005	1851-2005	no	no	
historical	giss_e2_r	r1i1p125	1851-2005	1851-2005	1851-2005	1851-2005	no	no	
historical	giss_e2_r	r1i1p127	no	1851-2005	no	1851-2005	no	no	ins-var
historical	giss_e2_r	r1i1p2	1850-2005	1850-2005	1850-2005	1850-2005	no	no	
historical	giss_e2_r	r1i1p3	1850-2005	1850-2005	1850-2005	1850-2005	no	no	
historical	giss_e2_r	r2i1p1	1850-2005	1850-2005	1850-2005	1850-2005	no	no	
historical	giss_e2_r	r2i1p2	1850-2005	1850-2005	1850-2005	1850-2005	no	no	
historical	giss_e2_r	r2i1p3	1850-2005	1850-2005	1850-2005	1850-2005	no	no	
historical	giss_e2_r	r3i1p1	1850-2005	1850-2005	1850-2005	1850-2005	no	no	
historical	giss_e2_r	r3i1p2	1850-2005	1850-2005	1850-2005	1850-2005	no	no	
historical	giss_e2_r	r3i1p3	1850-2005	1850-2005	1850-2005	1850-2005	no	no	
historical	giss_e2_r	r4i1p1	1850-2005	1850-2005	1850-2005	1850-2005	no	no	
historical	giss_e2_r	r4i1p2	1850-2005	1850-2005	1850-2005	1850-2005	no	no	
historical	giss_e2_r	r4i1p3	1850-2005	1850-2005	1850-2005	1850-2005	no	no	
historical	giss_e2_r	r5i1p1	1850-2005	1850-2005	1850-2005	1850-2005	no	no	
historical	giss_e2_r	r5i1p2	1850-2005	1850-2005	1850-2005	1850-2005	no	no	
historical	giss_e2_r	r5i1p3	1850-2005	1850-2005	1850-2005	1850-2005	no	no	
historical	giss_e2_r	r6i1p1	1850-2005	1850-2005	1850-2005	1850-2005	no	no	
historical	giss_e2_r	r6i1p2	no	1850-2005	no	1850-2005	no	no	ins-var
historical	giss_e2_r	r6i1p3	1850-2005	1850-2005	1850-2005	1850-2005	no	no	
historical	giss_e2_r_cc	r1i1p1	1850-2010	1850-2010	1850-2010	1850-2010	no	no	
historical	hadcm3	r10i1p1	1859-2005	1859-2005	1859-2005	1859-2005	no	1959-2005	
historical	hadcm3	r1i1p1	1859-2005	1859-2005	1859-2005	1859-2005	no	1959-2005	
historical	hadcm3	r2i1p1	1859-2005	1859-2005	1859-2005	1859-2005	no	1959-2005	
historical	hadcm3	r3i1p1	1859-2005	1859-2005	1859-2005	1859-2005	no	1959-2005	
historical	hadcm3	r4i1p1	1859-2005	1859-2005	1859-2005	1859-2005	no	1959-2005	
historical	hadcm3	r5i1p1	1859-2005	1859-2005	1859-2005	1859-2005	no	1959-2005	
historical	hadcm3	r6i1p1	1859-2005	1859-2005	1859-2005	1859-2005	no	1959-2005	
historical	hadcm3	r7i1p1	1859-2005	1859-2005	1859-2005	1859-2005	no	1959-2005	
historical	hadcm3	r8i1p1	1859-2005	1859-2005	1859-2005	1859-2005	no	1959-2005	
historical	hadcm3	r9i1p1	1859-2005	1859-2005	1859-2005	1859-2005	no	1959-2005	
historical	hadgem2_ao	r1i1p1	1860-2005	1860-2005	1860-2005	1860-2005	no	no	
historical	hadgem2_cc	r1i1p1	1859-2005	1859-2005	1859-2005	1859-2005	no	no	
historical	hadgem2_cc	r2i1p1	1959-2005	1959-2005	1959-2005	1959-2005	no	no	
historical	hadgem2_cc	r3i1p1	1959-2005	1959-2005	1959-2005	1959-2005	no	no	
historical	hadgem2_es	r1i1p1	1859-2005	1859-2005	1859-2005	1859-2005	no	no	
historical	hadgem2_es	r2i1p1	1859-2005	1859-2005	1859-2005	1859-2005	no	1959-2005	
historical	hadgem2_es	r3i1p1	1859-2005	1859-2005	1859-2005	1859-2005	no	1959-2005	
historical	hadgem2_es	r4i1p1	1859-2005	1859-2005	1859-2005	1859-2005	no	1959-2005	
historical	inmcm4	r1i1p1	1850-2005	1850-2005	1850-2005	1850-2005	no	no	
historical	ipsl_cm5a_lr	r1i1p1	1850-2005	1850-2005	1850-2005	1850-2005	no	no	
historical	ipsl_cm5a_lr	r2i1p1	1850-2005	1850-2005	1850-2005	1850-2005	no	no	
historical	ipsl_cm5a_lr	r3i1p1	1850-2005	1850-2005	1850-2005	1850-2005	no	no	
historical	ipsl_cm5a_lr	r4i1p1	1850-2005	1850-2005	1850-2005	1850-2005	no	no	
historical	ipsl_cm5a_lr	r5i1p1	1850-2005	1850-2005	1850-2005	1850-2005	no	no	
historical	ipsl_cm5a_lr	r6i1p1	1850-2005	1850-2005	1850-2005	1850-2005	no	no	
historical	ipsl_cm5a_mr	r1i1p1	1850-2005	1850-2005	1850-2005	1850-2005	no	no	
historical	ipsl_cm5a_mr	r2i1p1	no	1850-2005	no	1850-2005	no	no	ins-var
historical	ipsl_cm5a_mr	r3i1p1	no	1850-2005	no	1850-2005	no	no	ins-var
historical	ipsl_cm5b_lr	r1i1p1	1850-2005	no	1850-2005	1850-2005	no	no	tmax
historical	miroc4h	r1i1p1	1950-2005	1951-2005	1950-2005	1950-2005	no	no	
historical	miroc4h	r2i1p1	1950-2005	1950-2005	1950-2005	1950-2005	no	1951-2005	
historical	miroc4h	r3i1p1	1950-2005	1950-2005	1950-2005	1950-2005	no	1951-2005	
historical	miroc5	r1i1p1	1850-2012	1850-2012	1850-2012	1850-2012	no	no	
historical	miroc5	r2i1p1	1850-2012	1850-2012	1850-2012	1850-2012	no	no	
historical	miroc5	r3i1p1	1850-2012	1850-2012	1850-2012	1850-2012	no	no	
historical	miroc5	r4i1p1	1850-2012	1850-2012	1850-2012	1850-2012	no	no	
historical	miroc5	r5i1p1	1850-2012	1850-2012	1850-2012	1850-2012	no	no	
historical	miroc_esm	r1i1p1	1850-2005	1850-2005	1850-2005	1850-2005	no	no	
historical	miroc_esm	r2i1p1	1850-2005	1850-2005	1850-2005	1850-2005	no	no	
historical	miroc_esm	r3i1p1	1850-2005	1850-2005	1850-2005	1850-2005	no	no	
historical	miroc_esm_chem	r1i1p1	1850-2005	1850-2005	1850-2005	1850-2005	no	no	
historical	mpi_esm_lr	r1i1p1	1850-2005	1850-2005	1850-2005	1850-2005	no	no	
historical	mpi_esm_lr	r2i1p1	1850-2005	1850-2005	1850-2005	1850-2005	no	no	
historical	mpi_esm_lr	r3i1p1	1850-2005	1850-2005	1850-2005	1850-2005	no	no	
historical	mpi_esm_mr	r1i1p1	1850-2005	1850-2005	1850-2005	1850-2005	no	no	
historical	mpi_esm_mr	r2i1p1	1850-2005	1850-2005	1850-2005	1850-2005	no	no	
historical	mpi_esm_mr	r3i1p1	1850-2005	1850-2005	1850-2005	1850-2005	no	no	
historical	mpi_esm_p	r1i1p1	1850-2005	1850-2005	1850-2005	1850-2005	no	no	
historical	mpi_esm_p	r2i1p1	1850-2005	1850-2005	1850-2005	1850-2005	no	no	
historical	mri_cgcm3	r1i1p1	1850-2005	1850-2005	1850-2005	1850-2005	no	no	
historical	mri_cgcm3	r2i1p1	1850-2005	1850-2005	1850-2005	1850-2005	no	no	
historical	mri_cgcm3	r3i1p1	1850-2005	1850-2005	1850-2005	1850-2005	no	no	
historical	mri_cgcm3	r4i1p2	1850-2005	1850-2005	1850-2005	1850-2005	no	no	
historical	mri_cgcm3	r5i1p2	1850-2005	1850-2005	1850-2005	1850-2005	no	no	
historical	noresm1_m	r1i1p1	1850-2005	1850-2005	1850-2005	1850-2005	no	no	
historical	noresm1_m	r2i1p1	1850-2005	1850-2005	1850-2005	1850-2005	no	no	
historical	noresm1_m	r3i1p1	1850-2005	1850-2005	1850-2005	1850-2005	no	no	
historical	noresm1_me	r1i1p1	1850-2005	no	1850-2005	no	no	no	ins-var
