rcp	gcm	ensemble	prec	tmax	tmean	tmin	hur	rsds	obs
rcp85	giss_e2_r	r1i1p2	2006-2300	2006-2300	2006-2300	2006-2300	no	no	
rcp85	giss_e2_r	r1i1p3	2006-2300	2006-2300	2006-2300	2006-2300	no	no	
rcp85	hadgem2_ao	r1i1p1	2006-2099	2006-2099	2006-2100	2006-2099	no	no	
rcp85	hadgem2_cc	r1i1p1	2005-2099	2005-2100	2005-2100	2005-2100	no	no	
rcp85	hadgem2_cc	r2i1p1	2005-2099	2005-2099	2005-2099	2005-2099	no	no	
rcp85	hadgem2_cc	r3i1p1	2005-2099	2005-2099	2005-2099	2005-2099	no	no	
rcp85	hadgem2_es	r1i1p1	2005-2299	2005-2299	2005-2299	2005-2299	no	no	
rcp85	hadgem2_es	r2i1p1	2005-2100	2005-2100	2005-2100	2005-2100	no	no	
rcp85	hadgem2_es	r3i1p1	2005-2100	2005-2100	2005-2100	2005-2100	no	no	
rcp85	hadgem2_es	r4i1p1	2005-2100	2005-2100	2005-2100	2005-2100	no	no	
rcp85	inmcm4	r1i1p1	2006-2100	2006-2100	2006-2100	2006-2100	no	no	
rcp85	ipsl_cm5a_lr	r1i1p1	2006-2300	2006-2300	2006-2300	2006-2300	no	no	
rcp85	ipsl_cm5a_lr	r2i1p1	2006-2100	2006-2100	2006-2100	2006-2100	no	no	
rcp85	ipsl_cm5a_lr	r3i1p1	2006-2100	2006-2100	2006-2100	2006-2100	no	no	
rcp85	ipsl_cm5a_lr	r4i1p1	2006-2100	2006-2100	2006-2100	2006-2100	no	no	
rcp85	ipsl_cm5a_mr	r1i1p1	2006-2100	2006-2100	2006-2100	2006-2100	no	no	
rcp85	ipsl_cm5b_lr	r1i1p1	2006-2100	2006-2100	2006-2100	2006-2100	no	no	
rcp85	miroc5	r1i1p1	2006-2100	2006-2100	2006-2100	2006-2100	no	no	
rcp85	miroc5	r2i1p1	2006-2100	2006-2100	2006-2100	2006-2100	no	no	
rcp85	miroc5	r3i1p1	2006-2100	2006-2100	2006-2100	2006-2100	no	no	
rcp85	miroc_esm	r1i1p1	2006-2100	2006-2100	2006-2100	2006-2100	no	no	
rcp85	miroc_esm_chem	r1i1p1	2006-2100	2006-2100	2006-2100	2006-2100	no	no	
rcp85	mpi_esm_lr	r1i1p1	2006-2300	2006-2300	2006-2300	2006-2300	no	no	
rcp85	mpi_esm_lr	r2i1p1	2006-2100	2006-2100	2006-2100	2006-2100	no	no	
rcp85	mpi_esm_lr	r3i1p1	2006-2100	2006-2100	2006-2100	2006-2100	no	no	
rcp85	mpi_esm_mr	r1i1p1	2006-2100	2006-2100	2006-2100	2006-2100	no	no	
rcp85	mri_cgcm3	r1i1p1	2006-2100	2006-2100	2006-2100	2006-2100	no	no	
rcp85	noresm1_m	r1i1p1	2006-2100	2006-2100	2006-2100	2006-2100	no	no	
rcp85	noresm1_me	r1i1p1	2006-2100	no	2006-2100	no	no	no	ins-var
