rcp	gcm	ensemble	rsds
rcp26	mohc_hadgem2_es	r1i1p1	20051201-20991130.nc
rcp26	mohc_hadgem2_es	r1i1p1	20051201-20991130.nc
rcp26	mohc_hadgem2_es	r1i1p1	20051201-20991130.nc
rcp26	mpi_esm_lr	r1i1p1	20060101-21001231.nc
rcp26	mpi_esm_lr	r1i1p1	20060101-21001231.nc
rcp26	mpi_esm_lr	r1i1p1	20060101-21001231.nc
rcp26	mpi_esm_lr	r1i1p1	20060101-21001231.nc
rcp26	mpi_esm_lr	r1i1p1	20060101-21001231.nc
rcp26	mpi_esm_lr	r1i1p1	20060101-21001231.nc
rcp26	mpi_esm_lr	r1i1p1	20060101-21001231.nc
rcp26	mpi_esm_mr	r1i1p1	N/A
rcp26	mpi_esm_mr	r1i1p1	N/A
rcp26	mpi_esm_mr	r1i1p1	N/A
rcp26	mpi_esm_mr	r1i1p1	N/A
rcp26	mpi_esm_mr	r1i1p1	N/A
rcp26	mpi_esm_mr	r1i1p1	N/A
rcp26	mpi_esm_mr	r1i1p1	N/A
rcp26	mri_cgcm3	r1i1p1	20060101-21001231.nc
rcp26	mri_cgcm3	r1i1p1	20060101-21001231.nc
rcp26	mri_cgcm3	r1i1p1	20060101-21001231.nc
rcp26	mri_cgcm3	r1i1p1	20060101-21001231.nc
rcp26	mri_cgcm3	r1i1p1	20060101-21001231.nc
rcp26	mri_cgcm3	r1i1p1	20060101-21001231.nc
rcp26	mri_cgcm3	r1i1p1	20060101-21001231.nc
rcp26	ncar_ccsm4	r1i1p1	N/A
rcp26	ncar_ccsm4	r1i1p1	N/A
rcp26	ncar_ccsm4	r1i1p1	N/A
rcp26	ncar_ccsm4	r1i1p1	N/A
rcp26	ncar_ccsm4	r1i1p1	N/A
rcp26	ncar_ccsm4	r1i1p1	N/A
rcp26	ncar_ccsm4	r1i1p1	N/A
rcp26	ncc_noresm1_m	r1i1p1	N/A
rcp26	ncc_noresm1_m	r1i1p1	N/A
rcp26	ncc_noresm1_m	r1i1p1	N/A
rcp26	ncc_noresm1_m	r1i1p1	N/A
rcp26	ncc_noresm1_m	r1i1p1	N/A
rcp26	ncc_noresm1_m	r1i1p1	N/A
rcp26	ncc_noresm1_m	r1i1p1	N/A
rcp45	access1_3	r1i1p1	20060101-21001231.nc
rcp45	access1_3	r1i1p1	20060101-21001231.nc
rcp45	access1_3	r1i1p1	20060101-21001231.nc
rcp45	access1_3	r1i1p1	20060101-21001231.nc
rcp45	access1_3	r1i1p1	20060101-21001231.nc
rcp45	access1_3	r1i1p1	20060101-21001231.nc
rcp45	access1_3	r1i1p1	20060101-21001231.nc
rcp45	bcc_csm1_1	r1i1p1	20060101-20991231.nc
rcp45	bcc_csm1_1	r1i1p1	20060101-20991231.nc
rcp45	bcc_csm1_1	r1i1p1	20060101-20991231.nc
rcp45	bcc_csm1_1	r1i1p1	20060101-20991231.nc
rcp45	bcc_csm1_1	r1i1p1	20060101-20991231.nc
rcp45	bcc_csm1_1	r1i1p1	20060101-20991231.nc
rcp45	bcc_csm1_1	r1i1p1	20060101-20991231.nc
rcp45	bcc_csm1_1_m	r1i1p1	20060101-21001230.nc
rcp45	bcc_csm1_1_m	r1i1p1	20060101-21001230.nc
rcp45	bcc_csm1_1_m	r1i1p1	20060101-21001230.nc
rcp45	bcc_csm1_1_m	r1i1p1	20060101-21001230.nc
rcp45	bcc_csm1_1_m	r1i1p1	20060101-21001230.nc
rcp45	bcc_csm1_1_m	r1i1p1	20060101-21001230.nc
rcp45	bcc_csm1_1_m	r1i1p1	20060101-21001230.nc
rcp45	bnu_esm	r1i1p1	20060101-21001231.nc
rcp45	bnu_esm	r1i1p1	20060101-21001231.nc
rcp45	bnu_esm	r1i1p1	20060101-21001231.nc
rcp45	bnu_esm	r1i1p1	20060101-21001231.nc
rcp45	bnu_esm	r1i1p1	20060101-21001231.nc
rcp45	bnu_esm	r1i1p1	20060101-21001231.nc
rcp45	bnu_esm	r1i1p1	20060101-21001231.nc
rcp45	cccma_cancm4	r1i1p1	N/A
rcp45	cccma_cancm4	r1i1p1	N/A
rcp45	cccma_cancm4	r1i1p1	N/A
rcp45	cccma_cancm4	r1i1p1	N/A
rcp45	cccma_cancm4	r1i1p1	N/A
rcp45	cccma_cancm4	r1i1p1	N/A
rcp45	cccma_cancm4	r1i1p1	N/A
rcp45	cccma_canesm2	r1i1p1	20060101-21001231.nc
rcp45	cccma_canesm2	r1i1p1	20060101-21001231.nc
rcp45	cccma_canesm2	r1i1p1	20060101-21001231.nc
rcp45	cccma_canesm2	r1i1p1	20060101-21001231.nc
rcp45	cccma_canesm2	r1i1p1	20060101-21001231.nc
rcp45	cccma_canesm2	r1i1p1	20060101-21001231.nc
rcp45	cccma_canesm2	r1i1p1	20060101-21001231.nc
rcp45	cesm1_cam5	r1i1p1	N/A
rcp45	cesm1_cam5	r1i1p1	N/A
rcp45	cesm1_cam5	r1i1p1	N/A
rcp45	cesm1_cam5	r1i1p1	N/A
rcp45	cesm1_cam5	r1i1p1	N/A
rcp45	cesm1_cam5	r1i1p1	N/A
rcp45	cesm1_cam5	r1i1p1	N/A
rcp45	cnrm_cm5	r1i1p1	20060101-21001231.nc
rcp45	cnrm_cm5	r1i1p1	20060101-21001231.nc
rcp45	cnrm_cm5	r1i1p1	20060101-21001231.nc
rcp45	cnrm_cm5	r1i1p1	20060101-21001231.nc
rcp45	cnrm_cm5	r1i1p1	20060101-21001231.nc
rcp45	cnrm_cm5	r1i1p1	20060101-21001231.nc
rcp45	cnrm_cm5	r1i1p1	20060101-21001231.nc
rcp45	csiro_acess1_0	r1i1p1	20060101-21001231.nc
rcp45	csiro_acess1_0	r1i1p1	20060101-21001231.nc
rcp45	csiro_acess1_0	r1i1p1	20060101-21001231.nc
rcp45	csiro_acess1_0	r1i1p1	20060101-21001231.nc
rcp45	csiro_acess1_0	r1i1p1	20060101-21001231.nc
rcp45	csiro_acess1_0	r1i1p1	20060101-21001231.nc
rcp45	csiro_acess1_0	r1i1p1	20060101-21001231.nc
rcp45	csiro_mk3_6_0	r1i1p1	20060101-21001231.nc
rcp45	csiro_mk3_6_0	r1i1p1	20060101-21001231.nc
rcp45	csiro_mk3_6_0	r1i1p1	20060101-21001231.nc
rcp45	csiro_mk3_6_0	r1i1p1	20060101-21001231.nc
rcp45	csiro_mk3_6_0	r1i1p1	20060101-21001231.nc
rcp45	csiro_mk3_6_0	r1i1p1	20060101-21001231.nc
rcp45	csiro_mk3_6_0	r1i1p1	20060101-21001231.nc
rcp45	fgoals_g2	r1i1p1	N/A
rcp45	fgoals_g2	r1i1p1	N/A
rcp45	fgoals_g2	r1i1p1	N/A
rcp45	fgoals_g2	r1i1p1	N/A
rcp45	fgoals_g2	r1i1p1	N/A
rcp45	fgoals_g2	r1i1p1	N/A
rcp45	fgoals_g2	r1i1p1	N/A
rcp45	gfdl_cm3	r1i1p1	N/A
rcp45	gfdl_cm3	r1i1p1	N/A
rcp45	gfdl_cm3	r1i1p1	N/A
rcp45	gfdl_cm3	r1i1p1	N/A
rcp45	gfdl_cm3	r1i1p1	N/A
rcp45	gfdl_cm3	r1i1p1	N/A
rcp45	gfdl_cm3	r1i1p1	N/A
rcp45	gfdl_esm2g	r1i1p1	20060101-21001231.nc
rcp45	gfdl_esm2g	r1i1p1	20060101-21001231.nc
rcp45	gfdl_esm2g	r1i1p1	20060101-21001231.nc
rcp45	gfdl_esm2g	r1i1p1	20060101-21001231.nc
rcp45	gfdl_esm2g	r1i1p1	20060101-21001231.nc
rcp45	gfdl_esm2g	r1i1p1	20060101-21001231.nc
rcp45	gfdl_esm2g	r1i1p1	20060101-21001231.nc
rcp45	gfdl_esm2m	r1i1p1	20060101-21001231.nc
rcp45	gfdl_esm2m	r1i1p1	20060101-21001231.nc
rcp45	gfdl_esm2m	r1i1p1	20060101-21001231.nc
rcp45	gfdl_esm2m	r1i1p1	20060101-21001231.nc
rcp45	gfdl_esm2m	r1i1p1	20060101-21001231.nc
rcp45	gfdl_esm2m	r1i1p1	20060101-21001231.nc
rcp45	gfdl_esm2m	r1i1p1	20060101-21001231.nc
rcp45	gfld_esm2g	r1i1p1	20060101-21001231.nc
rcp45	gfld_esm2g	r1i1p1	20060101-21001231.nc
rcp45	gfld_esm2g	r1i1p1	20060101-21001231.nc
rcp45	gfld_esm2g	r1i1p1	20060101-21001231.nc
rcp45	gfld_esm2g	r1i1p1	20060101-21001231.nc
rcp45	gfld_esm2g	r1i1p1	20060101-21001231.nc
rcp45	gfld_esm2g	r1i1p1	20060101-21001231.nc
rcp45	gfld_esm2m	r1i1p1	20060101-21001231.nc
rcp45	gfld_esm2m	r1i1p1	20060101-21001231.nc
rcp45	gfld_esm2m	r1i1p1	20060101-21001231.nc
rcp45	gfld_esm2m	r1i1p1	20060101-21001231.nc
rcp45	gfld_esm2m	r1i1p1	20060101-21001231.nc
rcp45	gfld_esm2m	r1i1p1	20060101-21001231.nc
rcp45	gfld_esm2m	r1i1p1	20060101-21001231.nc
rcp45	inm_cm4	r1i1p1	20060101-21001231.nc
rcp45	inm_cm4	r1i1p1	20060101-21001231.nc
rcp45	inm_cm4	r1i1p1	20060101-21001231.nc
rcp45	inm_cm4	r1i1p1	20060101-21001231.nc
rcp45	inm_cm4	r1i1p1	20060101-21001231.nc
rcp45	inm_cm4	r1i1p1	20060101-21001231.nc
rcp45	inm_cm4	r1i1p1	20060101-21001231.nc
rcp45	ipsl_cm5a_lr	r1i1p1	N/A
rcp45	ipsl_cm5a_lr	r1i1p1	N/A
rcp45	ipsl_cm5a_lr	r1i1p1	N/A
rcp45	ipsl_cm5a_lr	r1i1p1	N/A
rcp45	ipsl_cm5a_lr	r1i1p1	N/A
rcp45	ipsl_cm5a_lr	r1i1p1	N/A
rcp45	ipsl_cm5a_lr	r1i1p1	N/A
rcp45	ipsl_cm5a_mr	r1i1p1	20060101-21001231.nc
rcp45	ipsl_cm5a_mr	r1i1p1	20060101-21001231.nc
rcp45	ipsl_cm5a_mr	r1i1p1	20060101-21001231.nc
rcp45	ipsl_cm5a_mr	r1i1p1	20060101-21001231.nc
rcp45	ipsl_cm5a_mr	r1i1p1	20060101-21001231.nc
rcp45	ipsl_cm5a_mr	r1i1p1	20060101-21001231.nc
rcp45	ipsl_cm5a_mr	r1i1p1	20060101-21001231.nc
rcp45	ipsl_cm5b_lr	r1i1p1	N/A
rcp45	ipsl_cm5b_lr	r1i1p1	N/A
rcp45	ipsl_cm5b_lr	r1i1p1	N/A
rcp45	ipsl_cm5b_lr	r1i1p1	N/A
rcp45	ipsl_cm5b_lr	r1i1p1	N/A
rcp45	ipsl_cm5b_lr	r1i1p1	N/A
rcp45	ipsl_cm5b_lr	r1i1p1	N/A
rcp45	miroc_esm	r1i1p1	20060101-21001231.nc
rcp45	miroc_esm	r1i1p1	20060101-21001231.nc
rcp45	miroc_esm	r1i1p1	20060101-21001231.nc
rcp45	miroc_esm	r1i1p1	20060101-21001231.nc
rcp45	miroc_esm	r1i1p1	20060101-21001231.nc
rcp45	miroc_esm	r1i1p1	20060101-21001231.nc
rcp45	miroc_esm	r1i1p1	20060101-21001231.nc
rcp45	miroc_esm_chem	r1i1p1	20060101-21001231.nc
rcp45	miroc_esm_chem	r1i1p1	20060101-21001231.nc
rcp45	miroc_esm_chem	r1i1p1	20060101-21001231.nc
rcp45	miroc_esm_chem	r1i1p1	20060101-21001231.nc
rcp45	miroc_esm_chem	r1i1p1	20060101-21001231.nc
rcp45	miroc_esm_chem	r1i1p1	20060101-21001231.nc
rcp45	miroc_esm_chem	r1i1p1	20060101-21001231.nc
rcp45	miroc_miroc4h	r1i1p1	20060101-20351231.nc
rcp45	miroc_miroc4h	r1i1p1	20060101-20351231.nc
rcp45	miroc_miroc4h	r1i1p1	20060101-20351231.nc
rcp45	miroc_miroc4h	r1i1p1	20060101-20351231.nc
rcp45	miroc_miroc4h	r1i1p1	20060101-20351231.nc
rcp45	miroc_miroc4h	r1i1p1	20060101-20351231.nc
rcp45	miroc_miroc4h	r1i1p1	20060101-20351231.nc
rcp45	miroc_miroc5	r1i1p1	20060101-21001231.nc
rcp45	miroc_miroc5	r1i1p1	20060101-21001231.nc
rcp45	miroc_miroc5	r1i1p1	20060101-21001231.nc
rcp45	miroc_miroc5	r1i1p1	20060101-21001231.nc
rcp45	miroc_miroc5	r1i1p1	20060101-21001231.nc
rcp45	miroc_miroc5	r1i1p1	20060101-21001231.nc
rcp45	miroc_miroc5	r1i1p1	20060101-21001231.nc
rcp45	mohc_hadcm3	r1i1p1	N/A
rcp45	mohc_hadcm3	r1i1p1	N/A
rcp45	mohc_hadcm3	r1i1p1	N/A
rcp45	mohc_hadcm3	r1i1p1	N/A
rcp45	mohc_hadcm3	r1i1p1	N/A
rcp45	mohc_hadcm3	r1i1p1	N/A
rcp45	mohc_hadcm3	r1i1p1	N/A
rcp45	mohc_hadgem2_cc	r1i1p1	20051201-20991230.nc
rcp45	mohc_hadgem2_cc	r1i1p1	20051201-20991230.nc
rcp45	mohc_hadgem2_cc	r1i1p1	20051201-20991230.nc
rcp45	mohc_hadgem2_cc	r1i1p1	20051201-20991230.nc
rcp45	mohc_hadgem2_cc	r1i1p1	20051201-20991230.nc
rcp45	mohc_hadgem2_cc	r1i1p1	20051201-20991230.nc
rcp45	mohc_hadgem2_cc	r1i1p1	20051201-20991230.nc
