"id","data_provider_id","data_resource_id","institution_code_id","collection_code_id","caralogue_number_id","rank_name","specie_name","genus_name","family_name","order_name","class_name","phylum_name","kingdom_name","specie_id","genus_id","family_id","order_id","class_id","phylum_id","kingdom_id","rank_id","latitude","longitude","iso_country_code","year_created","month_created","occurrence_date","basis_of_record","basis_of_record_name","altitude_metres","IsInRangeLongitude","IsInRangeLatitude","IsInRange","IsWithin","IsIndian","UID","IS_UNIQUE"
42254105,92,1430,7973,801126,40482518,"subspecies","null","Arachis","Fabaceae","Fabales","Magnoliopsida","Magnoliophyta","Plantae","null",16118362,13146161,"13141681",13140929,13140814,13140804,8000,10.13000011,77.76999664,"IN","null","null","null",0,"unknown","270",1,1,1,1,1,33,TRUE
42254143,92,1430,7973,801126,40482549,"subspecies","null","Arachis","Fabaceae","Fabales","Magnoliopsida","Magnoliophyta","Plantae","null",16118362,13146161,"13141681",13140929,13140814,13140804,8000,10.13000011,78.52999878,"IN","null","null","null",0,"unknown","140",1,1,1,1,1,34,TRUE
42254145,92,1430,7973,801126,40482550,"subspecies","null","Arachis","Fabaceae","Fabales","Magnoliopsida","Magnoliophyta","Plantae","null",16118362,13146161,"13141681",13140929,13140814,13140804,8000,10.27000046,78.54000092,"IN","null","null","null",0,"unknown","160",1,1,1,1,1,35,TRUE
42254147,92,1430,7973,801126,40482551,"subspecies","null","Arachis","Fabaceae","Fabales","Magnoliopsida","Magnoliophyta","Plantae","null",16118362,13146161,"13141681",13140929,13140814,13140804,8000,10.27000046,78.54000092,"IN","null","null","null",0,"unknown","160",1,1,1,1,1,36,FALSE
42304985,92,1430,7973,801126,40487633,"subspecies","null","Arachis","Fabaceae","Fabales","Magnoliopsida","Magnoliophyta","Plantae","null",16118362,13146161,"13141681",13140929,13140814,13140804,8000,10.32999992,77.75,"IN","null","null","null",0,"unknown","0",1,1,1,1,1,37,TRUE
42305002,92,1430,7973,801126,40487637,"subspecies","null","Arachis","Fabaceae","Fabales","Magnoliopsida","Magnoliophyta","Plantae","null",16118362,13146161,"13141681",13140929,13140814,13140804,8000,10.32999992,77.75,"IN","null","null","null",0,"unknown","0",1,1,1,1,1,38,FALSE
42304979,92,1430,7973,801126,40487631,"subspecies","null","Arachis","Fabaceae","Fabales","Magnoliopsida","Magnoliophyta","Plantae","null",16118362,13146161,"13141681",13140929,13140814,13140804,8000,10.35000038,77.97000122,"IN","null","null","null",0,"unknown","0",1,1,1,1,1,39,TRUE
42305006,92,1430,7973,801126,40487638,"subspecies","null","Arachis","Fabaceae","Fabales","Magnoliopsida","Magnoliophyta","Plantae","null",16118362,13146161,"13141681",13140929,13140814,13140804,8000,10.35000038,77.97000122,"IN","null","null","null",0,"unknown","0",1,1,1,1,1,40,FALSE
42254104,92,1430,7973,801126,40482517,"subspecies","null","Arachis","Fabaceae","Fabales","Magnoliopsida","Magnoliophyta","Plantae","null",16118362,13146161,"13141681",13140929,13140814,13140804,8000,10.36999989,77.81999969,"IN","null","null","null",0,"unknown","300",1,1,1,1,1,41,TRUE
42304982,92,1430,7973,801126,40487632,"subspecies","null","Arachis","Fabaceae","Fabales","Magnoliopsida","Magnoliophyta","Plantae","null",16118362,13146161,"13141681",13140929,13140814,13140804,8000,10.44999981,77.51000214,"IN","null","null","null",0,"unknown","0",1,1,1,1,1,42,TRUE
