id,data_provider_id,data_resource_id,institution_code_id,collection_code_id,caralogue_number_id,rank_name,specie_name,genus_name,family_name,order_name,class_name,phylum_name,kingdom_name,specie_id,genus_id,family_id,order_id,class_id,phylum_id,kingdom_id,rank_id,latitude,longitude,iso_country_code,year_created,month_created,occurrence_date,basis_of_record,basis_of_record_name,altitude_metres,IsInRangeLongitude,IsInRangeLatitude,IsInRange
40144033,199,1429,25216,894252,2454615,species,Arachis hypogaea,Arachis,Leguminosae,null,Dicotyledons,Angiospermae,Unknown,13637149,13178451,16198321,null,21655048,16252707,14719007,7000,-18.88330078,31.39999962,ZW,0,0,null,4,germplasm,1420,1,1,1
40144034,199,1429,25216,894252,2454616,species,Arachis hypogaea,Arachis,Leguminosae,null,Dicotyledons,Angiospermae,Unknown,13637149,13178451,16198321,null,21655048,16252707,14719007,7000,-18.88330078,31.39999962,ZW,0,0,null,4,germplasm,1420,1,1,1
40144036,199,1429,25216,894252,2454618,species,Arachis hypogaea,Arachis,Leguminosae,null,Dicotyledons,Angiospermae,Unknown,13637149,13178451,16198321,null,21655048,16252707,14719007,7000,-18.88330078,31.39999962,ZW,null,null,null,4,germplasm,1420,1,1,1
40144038,199,1429,25216,894252,2454619,species,Arachis hypogaea,Arachis,Leguminosae,null,Dicotyledons,Angiospermae,Unknown,13637149,13178451,16198321,null,21655048,16252707,14719007,7000,-18.88330078,31.39999962,ZW,0,0,null,4,germplasm,1420,1,1,1
40144039,199,1429,25216,894252,2454620,species,Arachis hypogaea,Arachis,Leguminosae,null,Dicotyledons,Angiospermae,Unknown,13637149,13178451,16198321,null,21655048,16252707,14719007,7000,-18.88330078,31.39999962,ZW,0,0,null,4,germplasm,1420,1,1,1
40144042,199,1429,25216,894252,2454622,species,Arachis hypogaea,Arachis,Leguminosae,null,Dicotyledons,Angiospermae,Unknown,13637149,13178451,16198321,null,21655048,16252707,14719007,7000,-18.88330078,31.39999962,ZW,null,null,null,4,germplasm,1420,1,1,1
40144045,199,1429,25216,894252,2454627,species,Arachis hypogaea,Arachis,Leguminosae,null,Dicotyledons,Angiospermae,Unknown,13637149,13178451,16198321,null,21655048,16252707,14719007,7000,-18.88330078,31.39999962,ZW,0,0,null,4,germplasm,1420,1,1,1
40144046,199,1429,25216,894252,2454628,species,Arachis hypogaea,Arachis,Leguminosae,null,Dicotyledons,Angiospermae,Unknown,13637149,13178451,16198321,null,21655048,16252707,14719007,7000,-18.88330078,31.39999962,ZW,0,0,null,4,germplasm,1420,1,1,1
40144049,199,1429,25216,894252,2454630,species,Arachis hypogaea,Arachis,Leguminosae,null,Dicotyledons,Angiospermae,Unknown,13637149,13178451,16198321,null,21655048,16252707,14719007,7000,-18.88330078,31.39999962,ZW,0,0,null,4,germplasm,1420,1,1,1
40144050,199,1429,25216,894252,2454631,species,Arachis hypogaea,Arachis,Leguminosae,null,Dicotyledons,Angiospermae,Unknown,13637149,13178451,16198321,null,21655048,16252707,14719007,7000,-18.88330078,31.39999962,ZW,0,0,null,4,germplasm,1420,1,1,1
40144053,199,1429,25216,894252,2454633,species,Arachis hypogaea,Arachis,Leguminosae,null,Dicotyledons,Angiospermae,Unknown,13637149,13178451,16198321,null,21655048,16252707,14719007,7000,-18.88330078,31.39999962,ZW,0,0,null,4,germplasm,1420,1,1,1
40144054,199,1429,25216,894252,2454634,species,Arachis hypogaea,Arachis,Leguminosae,null,Dicotyledons,Angiospermae,Unknown,13637149,13178451,16198321,null,21655048,16252707,14719007,7000,-18.88330078,31.39999962,ZW,0,0,null,4,germplasm,1420,1,1,1
40144056,199,1429,25216,894252,2454635,species,Arachis hypogaea,Arachis,Leguminosae,null,Dicotyledons,Angiospermae,Unknown,13637149,13178451,16198321,null,21655048,16252707,14719007,7000,-18.88330078,31.39999962,ZW,null,null,null,4,germplasm,1420,1,1,1
